'tween	在中間
atomic number 18	氬
atomic number 19	鉀
atomic number 2	氦
atomic number 20	鈣
atomic number 21	鈧
atomic number 22	鈦
atomic number 23	釩
atomic number 24	鉻
atomic number 25	錳
atomic number 26	鐵
atomic number 27	鈷
atomic number 28	鎳
atomic number 29	銅
atomic number 3	鋰
atomic number 30	鋅
atomic number 31	鎵
atomic number 32	鍺
atomic number 33	砷
atomic number 34	硒
atomic number 35	溴
atomic number 36	氪
atomic number 37	銣
atomic number 38	鍶
atomic number 39	釔
atomic number 4	鈹
atomic number 40	鋯
atomic number 41	鈮
atomic number 42	鉬
atomic number 43	鎝
atomic number 44	釕
atomic number 46	鈀#守護神
atomic number 47	銀
atomic number 48	鎘
atomic number 49	銦
atomic number 5	硼
atomic number 50	錫
atomic number 51	銻
atomic number 52	碲
atomic number 53	碘
atomic number 54	氙
atomic number 55	銫
atomic number 56	鋇
atomic number 57	鑭
atomic number 58	鈰
atomic number 59	鐠
atomic number 6	碳
atomic number 60	釹
atomic number 61	鉅
atomic number 62	釤
atomic number 63	銪
atomic number 64	釓
atomic number 65	鋱
atomic number 66	鏑
atomic number 67	鈥
atomic number 68	鉺
atomic number 69	銩
atomic number 7	氮
atomic number 70	鐿
atomic number 71	鎦
atomic number 72	鉿
atomic number 73	鉭
atomic number 74	鎢
atomic number 75	錸
atomic number 76	鋨
atomic number 77	銥
atomic number 78	白金
atomic number 79	黃金
atomic number 8	氧
atomic number 80	水銀
atomic number 81	鉈
atomic number 82	指導
atomic number 83	鉍
atomic number 84	釙
atomic number 85	石厄
atomic number 86	氡
atomic number 87	元素鈁
atomic number 88	鐳
atomic number 89	錒
atomic number 9	氟
atomic number 90	釷
atomic number 91	鏷
atomic number 92	鈾
atomic number 93	錼
atomic number 94	鈽
atomic number 95	鋂
atomic number 96	鋦
atomic number 97	放射性元素
atomic number 98	鉲
atomic physics	核子物理學
atomic pile	原子反應爐
atomic theory	原子說
atomic warhead	核彈頭
atomic weapon	核武器
atomisation	原子化
atomise	使分裂成原子
atomiser	噴霧器
atomist theory	原子說
atomistic theory	原子說
atomistical	原子論的
atonalism	無調性
atonia	張力缺乏
atopic allergy	遺傳性過敏症
atoxic	無毒的
atrabilious	膽汁質的
atrial auricle	外耳
atrip	離開海底
atrociousness	兇惡
Atropa belladonna	顛茄
atrophic arthritis	風濕
atrophied	浪費的
attach to	陪同
attache case	大使隨員
attack aircraft	鬥士
attack aircraft carrier	航空母艦
attacking	喜好攻擊的
attainableness	可達到
attempter	試驗者
attend to	為某事耿耿於懷
attendee	出席者
attending	注意
attention-getting	易記住的
attenuated	變薄
attestant	證人
attired	穿好衣服的
attracter	平局
attractive feature	吸引
attractive force	吸引
attractor	平局
atypic	非典型的
atypically	非典型地
au courant	並肩地
au fait	並肩地
auberge	宿舍
aubergine	茄子
auction block	街區
auction bridge	拍賣
auction pitch	瀝青
auction sale	拍賣
audaciousness	大膽
audad	鬣羊
audibleness	可聽到
audio recording	聲音的
audio system	音響系統
audiovisual aid	視聽的
audited account	審計
auditory hallucination	幻聽
auditory modality	聽力
auditory sensation	聲音
auditory sense	聽力
auld langsyne	很久以前
auntie	伯母
aunty	伯母
auricula atrii	外耳
auricular appendage	耳狀報春花
auricular appendix	耳狀報春花
auriculated	有耳的
auriculoventricular	心房與心室的
auriscope	耳鏡
aurorean	曙光的
auroscope	耳鏡
aurous	金的
auspex	占兆官
auspicate	預示
auspiciously	吉兆的
Australian crawl	爬行
Australian honeysuckle	忍冬
Australian stilt	高蹺
Australian turtledove	斑鳩
Austrian schilling	奧地利貨幣單位
autarchy	獨裁政治
authorial	作者的
authorisation	命令
authorise	授權
authorised	經授權的
authorities	政府
authorized shares	股本
authorized stock	股本
auto-changer	改變者
auto-mechanic	機械工
auto-suggestion	自我暗示
autobus	公共汽車
autochthonal	土著的
autochthonic	土著的
autocoid	內分泌物
autocue	提示臺詞者
autoeroticism	自體性行為
autogamic	自花受精的
autogenic	自然發生的
autogeny	自然發生
autogyro	直升飛機
autoloading	自行載入的
automatic pistol	自動機械
automatic washer	洗衣人
automatise	自動化
automatize	自動化
automatonlike	自動機械
automobile driver	賽跑者
automobile horn	角
automobile mechanic	機械工
automobile trunk	幹線
automotive vehicle	機動車
autophyte	自養生物
autophytic	自製養料的
autophytic plant	自養生物
autoplasty	自身移植物
autotomise	自割
autotrophic organism	自養生物
autotypy	單色版
autumn pumpkin	南瓜
availableness	巧妙
avant-garde	前鋒
avariciousness	貪財
avaritia	貪財
average out	平均
averageness	平常
avertable	能避免的
avertible	能避免的
averting	厭惡
aviate	門簾
aviation medicine	航空醫學
aviatress	女飛行員
avidness	渴望
avocado pear	酪梨
avocado tree	酪梨
avoirdupois weight	體重
avouchment	公開宣佈
avower	宣告者
awarding	獎
awed	嚇人的
aweless	無禮的
awestricken	驚奇不已的
awing	令人驚異的
awless	無禮的
awning deck	散步甲板
axial motion	卷
axial rotation	卷
axillary cavity	腋窩
axillary fossa	腋窩
axiomatical	自明的
axis vertebra	軸
Aythya americana	紅髮的人
Aythya valisineria	北美灰背大野鴨
AZ	方位角
azotaemia	尿毒症
azotemia	尿毒症
azotemic	尿毒症的
azotic	氮的
azygos	不成對的
B.T.U.	千瓦時
Babbitt metal	巴比特合金
babble out	說漏嘴
babbling	兒語
baby's dummy	慰問者
baby's room	託兒所
baby-sitter	就座者
baby-walker	徒步者
baby bird	剛孵出的雛鳥
baby buster	龐然大物
baby carriage	嬰兒車
baby doctor	小兒科醫師
baby tooth	乳齒
Babylonian weeping willow	垂柳
babysit	當臨時保姆
babysitter	就座者
Bacchanalia	秘密祭神儀式
bacchant	酒神的信徒
bacciferous	漿果似的
baccy	煙草
bachelor's button	矢車菊
bachelor-at-arms	單身男子
bacillar	桿狀的
back-to-back	連續的
back away	撤退
back breaker	酸
back end	後部
back entrance	後門
back off	放棄
back pack	背包
back talk	無禮的話
back tooth	後部
back up	支撐
backdoor	後門
backdown	收回
background knowledge	背景
background signal	背景
backgrounding	背景處理
backhand shot	反手拍
backhand stroke	反手拍
backmost	最後面的
backroom boy	智囊團團員
backsheesh	贈物
backslider	再犯
backspace key	退格
backspacer	退格
backstage	翅
backstair	祕密的
backtalk	無禮的話
backup man	代替
backward and forward	來來往往地
bacteriacide	殺菌劑
bacteriaemia	菌血性
bacteriemia	菌血性
bacterioidal	細菌性的
bacteriologic	細菌學的
bacterise	使受細菌作用
baculiform	桿狀的
bad-mannered	粗魯無禮的
bad-tempered	乖張的
bad hat	惹麻煩的人
bad weather	險惡
baddie	壞人
badger dog	達克斯臘狗
badgerer	激烈質問者
badgering	焦慮的
badminton racket	羽毛球拍
badminton racquet	羽毛球拍
baffle board	困惑
baffled	困惑的
baffling	難懂的
bagger	包裝工人
bagging	麻袋布
bagnio	妓院
baguet	長條形法國麵包
Bahrain dinar	第納爾
Bairdiella chrysoura	小姐
baked	炒過的
bakehouse	麵包烘房
baker's dozen	十三
bakeshop	麵包烘房
baking hot	烘焙
bakshis	贈物
bakshish	贈物
balaclava	巴拉克拉法帽
Balaeniceps rex	鯨頭鸛
balance beam	梁
balance of international payments	國際收支平衡
balance wheel	平衡
balancer	韁繩
bald-faced	大膽的
bald-headed	禿頭的
bald-pated	禿頭的
baldhead	剃光頭的人
baldpate	剃光頭的人
baldrick	佩飾
baldy	剃光頭的人
bale out	保釋出來
balefire	大篝火
balking	停止不前的
ball-and-socket joint	球窩關節
ball-shaped	球形的
ball carrier	跑步者
ball club	俱樂部
ball field	鑽石
ball of fire	發電所
ball over	衝擊
ball up	拙笨的修補
ballad maker	歌曲的作者
ballast resistor	壓載物
ballet skirt	由腰部撐開的芭蕾舞用短裙
ballista	石弩
ballistic capsule	太空船
ballistic trajectory	彈道學
ballock	睾丸
balloting	投票
ballpen	原子筆
ballroom dance	交際舞
bally	血腥的
ballyhoo artist	感覺論者
ballyrag	恃強欺弱者
balmily	愚蠢地
balmoral	羽扇豆
balsa wood	一種輕質木材
balsam capivi	苦配巴香脂
balsamy	香膠或香脂的
balusters	欄杆
Bam	猛擊
banana tree	香蕉
Band Aid	匆匆做成的事
band together	同盟者
bandaged	邊界
bandaging	調味品
bandana	大手帕
banded anteater	食蟻獸
bandelet	小環
bandelette	小環
banding	帶
bandlet	小環
bandsaw	帶鋸
bandy-legged	打來打去
bandy leg	內彎腿
bandyleg	內彎腿
Bang's disease	布魯氏桿菌病
bang-up	恃強欺弱者
bang up	打碎
banger	爆竹
banging	巨大無比的
bangtail	賽馬
banian	菩提樹
banian tree	菩提樹
bank bill	帳單
bank building	銀行
bank check	檢查
bank line	作者姓名或來源附注
bank vault	拱頂#窖
banker's acceptance	接受
banker's bill	帳單
banker's check	旅行支票
banker's draft	銀行匯票
banking company	銀行
banking concern	銀行
Banksia integrifolia	忍冬
banning	禁止
banshie	女妖精
banteng	減肥療法
bantering	滑稽的
banyan tree	菩提樹
baptise	給人施洗禮
baptismal font	洗禮堂
baptistry	洗禮堂
bar-room plant	蜘蛛抱蛋
bar absolute	巴列
bar billiards	微不足道的東西
bar graph	柱形圖表
bar sinister	私生子地位
barbacan	外堡
barbarisation	野蠻化
barbarise	野蠻
barbarousness	兇惡
Barbary pirate	海盜
Barbary sheep	鬣羊
barbate	有鬍鬚的
barbecued	烤的
barbecued spareribs	小排骨
barbellate	有刺的
barbeque	烤肉
barbwire	帶刺鐵絲網
barcarolle	威尼斯船歌
barde	馬衣
bare-ass	未開化的
bare-assed	未開化的
bare-breasted	上空的
barebacked	不用馬鞍地
bared	不戴帽子的
barefacedly	厚著臉皮地
barefooted	赤腳的
barf	嘔吐
bargain rate	便宜
barge in	相撞
baring	剝光
baritone horn	男中音
baritone voice	男中音
barium sulphate	重晶石
barkeep	酒吧的侍者
barleycorn	大麥
barm	酵母
barmy	有風味的
barnacle goose	藤壺
baroqueness	巴洛克風格
barrage fire	彈幕
barrel maker	桶匠
barreled	桶裝的
barrelful	桶
barretter	壓載物
barricaded	被堵塞的
barricado	路障
barrowful	墳
bars	雙杠
Bart	准男爵
bartlett pear	西洋梨的一種
barytes	重晶石
barytone	男中音
bas bleu	女學者
bas mitzvah	猶太女孩成人儀式
bas relief	淺浮雕
base hit	安全
base of operations	基
base on balls	步行
base runner	跑步者
baseball bat	木材
baseball club	俱樂部
baseball diamond	鑽石
baseball field	鑽石
baseball game	棒球
baseball glove	手套
baseball mitt	手套
baseball player	參加球賽的人
baseball swing	擺動
basely	卑賤地
basic principle	岩床
basics	岩床
basilary	基部的
basinful	盆
basket rummy	凱納斯特紙牌戲
basketball backboard	後擋板
basketball game	籃球
basketball hoop	籃
basketball player	籃球選手
basketball team	五
basketeer	籃球選手
basophile	嗜鹼細胞
bass fiddle	低音提琴
bass horn	低音大喇叭
bass part	男低音
bass viol	低音提琴
bass voice	男低音
Bassariscus astutus	圈尾貓
bassarisk	圈尾貓
basset hound	一種矮腳的獵犬
Bassia scoparia	觀景樓
basso relievo	淺浮雕
basso rilievo	淺浮雕
bast fiber	韌皮
bastardisation	認定為私生子
bastardise	宣告...為私生
bastardly	私生的
bastardy proceeding	確認生父的訴訟
baster	敲平頭釘的人
basting	在...上塗油脂
basting stitch	在...上塗油脂
bateau bridge	浮橋
bath mitzvah	猶太女孩成人儀式
bath soap	香皂
bathing machine	公共浴室
bathing tub	浴缸
batholite	底盤
batholitic	岩基的
bathroom tissue	廁紙
bathymetry	鉛工業
baton twirler	行進樂隊指揮
batten down	板條
batter bread	蛋奶玉米麵包
battercake	薄烤餅
battery-acid	酸
battery charger	戰馬
batting cage	鳥籠
batting order	紙牌
battle fatigue	戰鬥疲勞症
battle royal	混戰
battledore and shuttlecock	羽毛球拍
battleful	好戰的
battler	爭鬥者
baulk	阻礙
bawdyhouse	妓院
bawl out	指責
bawler	咆哮者
bawling out	申斥
bay-rum tree	月桂樹的果實
bay laurel	海灣#隔間
bay lynx	美洲野貓
bay tree	海灣#隔間
bay window	罐
bay wreath	月桂樹
Bayer	阿斯匹林
bazar	集市
bazillion	百萬
bbl	桶
be active	移動
be adrift	漂流物
be after	計劃
be amiss	誤解
be at pains	盡力
be given	走向
be intimate	愛
be known as	名字
be on cloud nine	非常高興
be quiet	住口
be sick	嘔吐
beach chair	躺椅
beach waggon	旅行車
beach wagon	旅行車
beach wormwood	老太婆
beacon fire	煙火
beacon light	煙火
beadlike	圓小晶亮如珠的
beaked parsley	山蘿蔔
beam scale	提秤
beamish	微笑的
beamy	發光的
bean curd	豆腐
bean plant	豆子
beany	無邊小便帽
bear's ear	耳狀報春花
bear away	帶走
bear cat	熊貓
bear down	壓倒
bear off	帶走
bear on	把...歸因
bear out	使堅固
bear upon	影響
bearded darnel	毒麥
bearing false witness	偽誓
bearwood	熊果
beat-up	打扁了的
beat around the bush	說模棱兩可的話
beat back	擊退
beat out	敲打
beaten-up	打扁了的
beatified	受祝福的
beating-reed instrument	蘆葦
beau ideal	模範
beauteousness	漂亮的
beauty parlour	客廳
beauty shop	客廳
beaux arts	美術
beaver away	海狸
beaver fur	海狸
bebop	毆打#博普爵士音樂
bechamel sauce	調味醬
bechance	發生
becharm	吸引力
becloud	使陰暗
become flat	鋼模
bed and breakfast	住宿加早餐
bed bug	臭蟲
bed clothing	床上用品
bed cover	床單
bed covering	床單
bed of flowers	花床
bed sheet	床單
bed wetter	濕潤工
bedamn	詛咒
bedaze	使暈倒
bedchamber	臥室
bedcover	床單
bedded	形成階層的
bedding material	被褥
bedewed	露濕的
bedframe	床架
bedight	艙面
bedraggled	遺棄物
bedrest	臥床休養期
bedrid	臥床不起的
bedwetter	濕潤工
bee house	養蜂場
beebread	神的食物
beech tree	山毛櫸
beechwood	山毛櫸
beef man	牧場主人
beef up	加強
beefalo	雜種牛
beer maker	啤酒製造者
beer mug	啤酒杯
beetle off	使流出
beetleweed	銀河
beetling	甲蟲#槌
beetroot	甜菜
befittingly	適當地
befog	使陰暗
befool	愚人
befooling	顯得愚笨
befoulment	弄髒
befuddled	困惑的
befuddlement	迷惑
beg off	致歉
begging	赤貧
begild	把...鍍金
beginning rhyme	頭韻
begrime	弄髒
begrimed	暗黑的
beguiled	高興的
beguiling	誘惑人的
behavioristic psychology	行動主義
behaviour	行為
behavioural	行為的
behaviourism	行動主義
behaviourist	行為主義者
behaviouristic	行動主義的
behaviouristic psychology	行動主義
beheading	斬首
beholding	鑒於
behoove	理應
beigel	硬麵包圈
beingness	存在
bejewel	珠寶
belching	打嗝
beldame	醜老太婆
beleaguering	圍攻
believability	可信用
believably	可信的
believingly	輕信地
belittled	細小的部分
belittling	詆毀
bell pepper	紅色柿子椒
bell ringer	鳴鐘者
bell ringing	競選活動
bell shape	鈴
belladonna plant	顛茄
bellicoseness	好戰性
bellower	咆哮者
bellowing	吼叫
belly-up	破產者
belly button	臍
belly dancing	肚皮舞
belly laugh	哄笑
belly out	腹
bellyacher	愛發牢騷的人
bellying	有腹的
belong to	屬於
belowground	地鐵
belt along	匆促
belt ammunition	帶子
belt down	一飲而盡
belt out	帶子
belt up	住口
belted ammunition	帶子
bemire	弄髒
bemock	嘲笑
bemusement	迷惑
bench mark	水準點
bench vise	虎頭鉗
bend dexter	彎
bendability	易曲折
bendable	易曲折的
bended	傾向#愛好
bending	彎
bends	氣泡栓塞症
benedick	新婚的男人
benefactive role	受惠者
Bengal bean	發癢黧豆
Benghal bean	發癢黧豆
benight	模糊
benni	芝麻
bent-grass	傾向#愛好
bent grass	傾向#愛好
benthic division	海底生物
benthonic	深海底的
benthonic zone	海底生物
benweed	豕草
beplaster	石膏
bereaved person	喪失的
bergamot orange	梨的一種
berretta	四角帽
berried	漿果似的
berrylike	漿果似的
