a	累加器
analects	文選
analeptic	使強壯的
analgesia	止痛
analgesic	止痛的
analogize	對
analogous	類似的
analogue	類似物
analogy	相似
analphabetic	文盲的
analyse	分析
analysis	分析
analyst	分析者
analyte	分析物
analytic	分析的
analytical	分析的
analytical geometry	解析幾何
analytics	分析方法
anamnesis	回憶
anamnestic	記憶的
anamorphosis	歪像
anaphase	後期
anaphora	首語重復法
anaphrodisiac	制欲劑
anaphylactic	過敏性
anaphylactic shock	過敏性休克
anaphylaxis	過敏性
anarchic	無政府的
anarchism	無政府主義
anarchy	無政府狀態
anastigmat	消像散透鏡
anastigmatic	消像散的
anastomose	吻合
anastomosis	接合
anat.	解剖學
anatase	銳鈦礦
anathematize	詛咒
Anatolia	安納託利亞
anatomical	解剖的
anatomist	解剖學家
anatomize	解剖
anatomy	剖析
ancestor	祖先
ancestral	祖先的
ancestress	女祖先
ancestry	祖先
anchor	錨
anchor escapement	錨形擒縱器
anchorage	下錨
anchoress	女隱士
anchorite	隱居修道者
anchorman	末棒運動員
anchusa	紫朱草
ancient	古代的
ancillary	從屬的
ancon	肘
ancylostomiasis	鉤蟲病
and	和
Andalusia	安達盧西亞
andalusite	紅柱石
andante	行板
Andes	安第斯山脈
andesite	安山岩
andiron	薪架
andradite	鈣鐵榴石
andro-	男
androecium	雄蕊
androgen	雄激素
androgyne	兩性體
androgynous	雌雄同體的
android	機器人
andrology	男科學
andromeda	安德洛墨達
androstenedione	雄甾烯二酮
androsterone	雄甾酮
anecdotage	軼事集
anecdotal	軼事的
anecdote	軼事
anechoic	無回聲的
anele	臨終塗油
anemo-	風
anemograph	風速記錄儀
anemometer	風速計
anemone	銀蓮花
anemophilous	風媒的
anencephalic	無腦的
anergia	無變應性
aneroid	不用液體的
aneuploid	非整倍的
aneurysm	動脈瘤
anew	重新
anfractuous	千回百折的
angary	非常征用權
angel	天使
angel cake	白蛋糕
angelfish	楔形
angelic	天使的
angelica	當歸屬植物
angelology	天使學
Angelus	奉告祈禱
anger	忿怒
angina	咽痛
angiogenesis	血管生成
angiography	血管造影術
angioplasty	血管成形術
angiosperm	被子植物
angle	角
angle bracket	角括號
angle iron	角鐵
angle of attack	衝角
angle of incidence	入射角
angle of reflection	反射角
angle of refraction	折射角
angle of repose	靜止角
angled	有角的
angler	釣魚
Anglican	盎格魯人
Anglicism	英國式特征
anglicize	使英國化
angling	釣魚
Anglo-	英國的
Anglomania	英國狂
Anglophile	親英者
Anglophobe	仇英者
Angola	安哥拉
angora	安哥拉
angry	生氣的
angst	焦慮
angstrom	埃
anguine	蛇的
anguish	劇痛
anguished	極度痛苦的
angular	有角的
angular frequency	角頻率
angular momentum	角動量
angular velocity	角速度
angulate	有角的
anhedonia	快感缺乏
anhedral	上反角
anhydride	酸酐
anhydrite	硬石膏
anhydrous	無水的
aniline	苯胺
aniline dye	苯胺染料
anima	生命
animadversion	批評
animadvert	批判
animal	動物
animal magnetism	動物磁力
animal pole	動物性極
animal spirits	生氣
animalcule	微動物
animalism	獸欲
animalist	縱欲者
animality	獸性
animalize	使動物化
animate	使有生氣
animated	活生生的
animation	活潑
anime	硬樹脂
animism	萬物有靈論
animosity	仇恨
animus	基本態度
anion	陰離子
anise	茴芹
aniseed	洋茴香
anisette	茴香酒
anisogamy	異配生殖
Anisoptera	蜻蜓類
anisotropic	各向異性的
Ankara	安卡拉
ankle	踝
ankle bone	距骨
anklet	短襪
ankylose	使僵硬
ankylosis	關節僵硬
anlage	原基
annalist	編年史作者
annals	編年史
annatto	胭脂樹紅
anneal	使退火
annelid	環節動物
Annelida	環節動物綱
annex	附加物
annexation	合並
annihilate	消滅
annihilation	殲滅
anniversary	週年紀念
Anno Domini	耶穌紀元
annotate	作注解
annotation	注解
announce	宣布
announcement	公告
announcer	節目報告員
annoy	使惱怒
annoyance	煩惱
annoying	惱人的
annual	年刊
annual ring	年輪
annually	一年一次
annuitant	領年金者
annuity	年金
annul	廢除
annular	環形的
annulate	環形的
annulet	小環
annulment	廢除
annulus	環
annunciate	宣布
annunciation	宣布
annunciator	通報者
anode	陽極
anodize	陽極氧化
anodyne	止痛藥
anoint	塗油
anomalistic	不規則的
anomalous	不規則的
anomaly	不規則
anomia	稱名不能
anon	不久以後
anon.	姓氏不詳的
anonym	假名
anonymity	匿名
anonymous	姓氏不詳的
anopheles	按蚊屬
Anoplura	虱目
anorak	風雪短大衣
anorectal	肛門直腸的
anorexia	食欲缺乏
anorthite	鈣長石
anorthosite	斜長岩
anosmia	嗅覺缺失症
another	另外的
ANOVA	方差分析
anovulatory	不排卵的
anoxia	缺氧症
ansatz	擬設
answer	答案
answerable	有責任的
ant	螞蟻
ant lion	蟻蛉
ant-	對抗
Antabuse	安塔布司
antacid	中和酸的
antagonism	對立
antagonist	敵手
antagonistic	對抗的
antagonize	使對抗
Antarctic	南極的
Antarctica	南極洲
ante	賭注
ante-	在
anteater	食蟻動物
antebellum	戰前的
antecedent	前情
antechamber	前廳
antechapel	教堂的門廳
antedate	先于
antediluvian	大洪水前的
antelope	羚羊
antenatal	出生前的
antenna	天線
antennule	小觸角
antenuptial	結婚前的
antepartum	分娩前的
anterior	前面的
antero-	前
anterograde	前進的
anterolateral	前外側的
anteroom	候見室
anteroposterior	前後的
anteverted	前傾的
anthelion	幻日
anthelmintic	驅腸蟲的
anthem	聖歌
anther	花藥
antheridium	雄器
antherozoid	遊動精子
anthesis	開花
anthill	蟻塚
anthologize	編選集
anthology	選集
Anthozoa	珊瑚動物
anthozoan	珊瑚蟲
anthracite	無煙煤
anthrax	炭疽
anthropo-	人類
anthropogenic	人類發生的
anthropogeny	人類起源學
anthropoid	類人猿
anthropology	人類學
anthropometry	人體測量學
anthropomorphism	擬人論
anthropomorphous	有人形的
anthropophagy	食人習性
anthroposophy	人性論
anti	反對者
anti-	抗
anti-American	反美的
anti-infective	抗感染的
anti-inflammatory	抗炎的
anti-knock	抗爆
anti-piracy	抵制盜版品
anti-Semitism	反猶主義
anti-static	抗靜電的
antibacterial	抗菌的
antiballistic missile	反彈道導彈
antibiosis	抗生
antibiotic	抗生素
antibody	抗體
antic	滑稽動作
anticathode	對陰極
anticholinergic	抗膽鹼能的
Antichrist	反對基督者
anticipate	預期
anticipation	預期
anticipatory	期待著的
anticlimax	突降法
anticline	背斜
anticlockwise	逆時針的
anticoagulant	抗凝劑
anticodon	反密碼子
antics	滑稽動作
anticyclone	反旋風
antidepressant	抗抑鬱的
antidiuretic hormone	抗利尿激素
antidote	解毒劑
antidromic	逆向的
antifreeze	防凍劑
antigen	抗原
antigenic determinant	抗原定子
antigorite	葉蛇紋石
antigravity	反重力
antihistamine	抗組胺藥
antilog	反對數
antilogarithm	反對數
antilogy	前後矛盾
antimacassar	椅背套
antimalarial	抗瘧的
antimatter	反物質
antimetabolite	抗代謝物
antimicrobial	抗菌的
antimony	銻
antineutron	反中子
antinode	波點
antinomy	自相矛盾
antioxidant	抗氧化劑
antiparallel	反平行
antiparticle	反粒子
antipathetic	生來厭惡的
antipathy	厭惡
antiperspirant	止汗劑
antipodal	對跖的
antipodes	12 地球上處于相對地置的地區
antipope	偽教皇
antiproton	反質子
antipruritic	止癢劑
antipyretic	退熱的
antiquated	陳舊的
antique	古董
antiquity	古老
antirrhinum	金魚草
antiscorbutic	抗壞血病的
antisepsis	防腐
antiseptic	抗菌劑
antiserum	抗血清
antislavery	反對奴隸制
antisocial	不愛社交的
antispasmodic	鎮痙藥
antisymmetric	反對稱的
antithesis	對偶
antitoxin	抗毒素
antitrust	反託拉斯的
antitussive	能止咳的
antitype	對型
antivenin	抗蛇毒血清
antiviral	抗病毒的
antivirus	抗病毒素
antler	鹿角
antonomasia	換稱
antonym	反義詞
antrectomy	竇切除術
antrum	竇
Antwerp	安特衛普
Anura	無尾類
anuria	無尿
anus	肛門
anvil	鐵砧
anxiety	焦慮
anxious	憂慮的
any	任何的
anybody	任何人
anyhow	無論如何
anyone	任何人
anyplace	在任何地方
anything	任何事
anyway	無論如何
anywhere	無論何處
anywise	不管怎麼說
Anzac Day	節
Anzus	澳新美
AO	陽極斷電
aorta	主動脈
AP	應付款
ap-	遠
apace	快速地
apache	阿帕切族
apart	成零碎
apartheid	種族隔離
apartment	房間
apathetic	缺乏感情的
apathy	無感情
apatite	磷灰石
APB	應用程序塊
ape	無尾猿
aperiodic	非週期性的
aperitif	開胃酒
aperture	孔
apery	學樣
apetalous	無花瓣的
apex	頂
aphasia	失語症
aphelion	遠日點
aphesis	11 詞首非重讀短元音的脫落
aphicide	殺蚜蟲藥
aphid	蚜蟲
aphis	蚜蟲屬
aphonia	失音
aphorism	格言
aphrodisiac	摧欲劑
Aphrodite	阿佛洛狄特
aphtha	口瘡
apian	蜜蜂的
apiary	養蜂場
apical	頂端的
apices	頂
apiculture	養蜂
apiece	就每個而論
Apis	蜂屬
apish	一味模仿的
aplanat	消球差透鏡
aplasia	發育不全
aplenty	豐富的
aplomb	沉著
apnoea	呼吸暫停
apo-	遠
apocalypse	啟示
apocalyptic	天啟的
apocarpous	心皮離生的
apocope	詞尾脫落
apocrine	頂
apocryphal	偽的
apodal	無足的
apodictic	無可置疑
apodous	無足的
apogee	遠地點
apolar	非極性的
apollo	阿波羅
apologetic	道歉的
apologia	辯解
apologist	辯護者
apologize	道歉
apologue	寓言
apology	道歉
apolune	遠月點
apomorphine	阿樸嗎啡
aponeurosis	腱膜
apophyllite	魚眼石
apophysis	骨突
apoplectic	中風病人
apoplexy	中風
apoprotein	脫輔蛋白質
aporia	窘迫
aposematic	警戒的
aposiopesis	頓絕
apostasy	叛教
apostate	叛教者
apostatize	叛教
apostolate	使徒身份
apostrophe	撇號
apothecary	藥劑師
apothem	邊心距
apotheosis	尊崇為神
apotheosize	尊崇為神
apotropaic	預防的
apozem	煎劑
app	應用
appal	使驚駭
appalling	駭人的
apparatus	裝置
apparel	衣服
apparent	清晰可見的
apparently	表面上
apparition	鬼
appeal	懇求
appeal court	上訴法院
appealable	可以上訴的
appealing	有感染力的
appear	出現
appearance	出現
appease	撫慰
appeasement	撫慰
appellant	上訴人
appellate	上訴的
appellation	名稱
appellative	名稱的
appellee	被上訴人
append	附加
appendage	附加物
appendant	附加的
appendectomy	闌尾切除術
appendicitis	闌尾炎
appendicular	闌尾的
appendix	附錄
apperception	認識
appertain	屬
appetency	渴望
appetite	食欲
appetitive	食欲的
appetizer	開胃食品
appetizing	開胃的
applaud	拍手喝彩
applause	鼓掌
apple	蘋果
apple pie	蘋果餡餅
applejack	蘋果白蘭地
applesauce	蘋果沙司
Appleton	阿普爾頓
appliance	器械
applicable	合適的
applicant	申請者
application	應用
applicative	應用的
applicator	聲極
applied	應用的
apply	塗
appoint	任命
appointed	派任的
appointive	任命的
appointment	約會
apport	物體顯形
apportion	分配
apportionment	分配
appose	使並列
apposite	貼切的
apposition	並置
appositive	同位的
appraisal	評價
appraise	評價
appreciable	可感知的
appreciably	可估計地
appreciate	賞識
appreciation	感激
appreciative	有欣賞力的
apprehend	理解
apprehensible	可理解的
apprehension	理解
apprehensive	惴惴不安的
apprentice	學徒
apprenticeship	學徒身分
apprise	通知
apprize	通知
approach	接近
approach path	接近路徑
approachable	可接近的
approbate	認可
approbation	認可
appropriate	適當的
appropriation	撥用
approval	贊成
approve	贊同
approving	贊成的
approximate	大約的
approximately	大約
approximation	接近
appurtenance	附屬物
appurtenant	附屬的
Apr.	四月
apraxia	精神性
apricot	杏子
April	四月
apron	圍裙
apropos	適當的
apt	有
apterous	無翅的
Apterygota	無翅類
aptitude	資質
aptitude test	能力測試
aptness	適合性
Apus	無足畸胎
aqua	水
aqua fortis	硝酸
aqua regia	王水
aqua vitae	酒精
aquaculture	水產養殖
aqualung	水中呼吸器
aquamarine	海藍寶石
aquanaut	海底觀察員
aquaplane	滑水板
aquarelle	透明水彩畫
aquarium	水族館
aquatic	水生動物
aqueduct	水管
aqueous	水的
aquifer	含水層
aquiline	鷹的
Ar	應收款
ar-	阿
Arab	阿拉伯人
Arabia	阿拉伯半島
Arabian	阿拉伯的
Arabic	阿拉伯語
arabinose	阿糖
arable	適于耕種的
arachidonic acid	花生四烯酸
arachis oil	花生油
arachnid	蛛形綱動物
Arachnida	蛛形綱
aragonite	霰石
Aramaic	阿拉姆語
araneid	蜘蛛
araucaria	南洋杉
arbiter	仲裁人
arbitrage	套利
arbitral	仲裁的
arbitrament	仲裁
arbitrary	任意的
arbitrate	仲裁
arbitration	仲裁
arbitrator	仲裁人
arbitress	女仲裁人
arbor	藤架
arbor vitae	小腦
arboreal	樹的
arborescent	樹木狀的
arboretum	樹木園
arboriculture	樹木栽培
arborist	樹木栽培家
arborization	樹枝狀
arbour	藤架
arbutus	野草莓樹
arc	弧
arc furnace	電弧爐
arc lamp	弧光燈
arc welding	電弧焊
arcade	拱廊
arcane	神秘的
arch	拱門
arch-	初
archaeology	考古學
archaic	古體的
archaism	古語
archaize	使有古風
archangel	天使長
archbishop	大主教
archbishopric	大主教之職
archdeacon	領班神父
archduchess	大公夫人
archduke	大公
arched	弓形結構的
archegonium	雌器
archenteron	原腸
archer	弓箭手
archery	射箭術
archetypal	原型的
archetype	原型
archil	染料衣
Archimedean screw	螺旋排水機
Archimedes	阿基米德
archipelago	群島
architect	建築師
architectonic	建築學上的
architecture	建築學
architrave	柱頂過梁
archive	把
archivist	案卷保管員
archon	執政官
archpriest	大司祭
archway	拱門
Arctic	北極的
Arctic Circle	北極圈
Arctic Ocean	北冰洋
Arcturus	大角
arcuate	弓形的
arcus senilis	老人弓
ardent	熱心的
ardour	熱忱
arduous	費力的
are	13 的現在時復數或第二人稱單數
area	區域
areaway	通道
areca	檳榔樹
arena	角鬥場
arenaceous	含沙的
arenavirus	沙粒病毒
areola	細隙
Ares	戰神阿瑞斯
argali	盤羊
argent	銀
argentiferous	含銀的
Argentina	阿根廷
argentine	銀
argil	陶土
argillaceous	粘土的
argillite	厚層泥岩
arginine	精氨酸
argle-bargle	爭論
argol	粗酒石
argon	氬
Argonne	阿爾貢
argosy	大商船
argot	行話
arguable	可辯論的
argue	提出理由
argufy	爭論
argument	爭論
argumentation	爭論
argumentative	好辯的
Argus-eyed	警惕的
argute	機靈的
argy-bargy	爭吵
arid	幹燥的
ariel	瞪羚
Aries	白羊座
aright	正確地
aril	假種皮
arioso	詠嘆調的
arise	站立
aristocracy	貴族
aristocrat	貴族
aristocratic	貴族的
Aristotle	亞裡士多德
arithmetic	算術
arithmetic mean	算術中項
arithmetic progression	等差數列
arithmetic unit	運算器
Arizona	亞利桑那州
ark	方舟
Arkansas	阿肯色州
arm	手臂
armada	艦隊
armadillo	犰狳
armament	軍備
armamentarium	醫療設備
armature	防衛器官
armband	臂章
armchair	扶手椅
armed	有扶手的
armed forces	武裝力量
armed neutrality	武裝中立
Armenia	亞美尼亞
Armenian	亞美尼亞的
armhole	袖孔
armistice	休戰
Armistice Day	停戰日
armlet	臂章
armoire	大型衣櫥
armorial	上有紋章的
armory	紋章
armour	甲冑
armoured	裝甲的
armourer	武器制造者
armoury	軍械庫
armpit	腋窩
armrest	扶手
arms	武器
arms race	軍備競賽
army	軍隊
arnica	山金車酊
aroma	濃香
aromatic	芬芳的
aromatize	使芳香
arose	的過去式
around	包圍
arousal	奮發
arouse	喚醒
arquebus	火繩槍
arrack	亞力酒
arraign	提訊
arraignment	提訊
arrange	安排
arrangement	排列
arrant	聲名狼藉的
arras	花毯
array	排列
arrears	逾期債款
arrest	逮捕
arrestee	被逮捕者
arrester	逮捕者
arresting	引人注意的
arrestment	逮捕
arrhythmia	心律不齊
arrhythmic	無節奏的
arris	稜
arrival	到達
arrive	到達
arriviste	暴發戶
arrogance	傲慢態度
arrogate	沒來由地把
arrow	箭
arrowhead	箭頭
arrowroot	竹芋
arroyo	幹涸溝壑
arse	屁股
arsenal	兵工廠
arsenate	砷酸鹽
arsenic	砷
arsenic acid	砷酸
arsenical	砷
arsenide	砷化物
arsenious	亞砷的
arsenopyrite	砷黃鐵礦
arsine	胂
arsis	強音節
arson	縱火
arsonist	縱火犯
arsphenamine	胂凡納明
art	藝術
artefact	人工制品
Artemis	阿耳特彌斯
arterial	動脈的
arterio-	動脈
arteriography	動脈造影術
arteriole	小動脈
arteriosclerosis	動脈硬化
arteriovenous	動靜脈的
arteritis	動脈炎
artery	動脈
artesian	自動流出的
artful	巧妙的
arthralgia	關節痛
arthritis	關節炎
arthro-	關節
arthrodesis	關節固定術
arthropod	節肢動物
Arthropoda	節肢動物門
arthroscope	關節
artichoke	朝鮮薊
article	文章
articled clerk	實習辦事員
articular	關節的
articulation	關節
articulatory	發音的
artifice	詭計
artificer	技工
artificial	人造的
artificial horizon	人造水平
artificial insemination	人工授精
artificial intelligence	人工智能
artificial kidney	人工腎
artificial respiration	人工呼吸
artificial silk	人造絲
artillery	火砲
artilleryman	砲兵
Artiodactyla	偶蹄類
artisan	工匠
artist	藝術家
artiste	藝人
artistic	藝術的
artistry	藝術性
artless	無虛飾的
