a	eɪ	-ā	ㄝㄧ	累加器
accentuation	ækˌsɛntjʊˈeɪʃ(ə)n	a-k-s-é-n-t-y-oo-ā-sh-ə--n	ㄚㄍㄙㄜㄋㄉㄡㄡㄝㄧㄕㄦㄋ	重讀
accept	əkˈsɛpt	ə-k-s-é-p-t	ㄦㄍㄙㄜㄅㄉ	接受
acceptable	əkˈsɛptəbl	ə-k-s-é-p-t-ə-b-l	ㄦㄍㄙㄜㄅㄉㄦㄅㄌ	可接受的
acceptance	əkˈsɛptəns	ə-k-s-é-p-t-ə-n-s-	ㄦㄍㄙㄜㄅㄉㄣㄙ	接受
acceptant	acceptant	acce-p-t-a-n-t	ㄚㄕㄕㄝㄅㄉㄢㄉ	接受的
accepted	əkˈsɛptɪd	ə-k-s-é-p-t-i-d	ㄦㄍㄙㄜㄅㄉㄧㄉ	公認的
acceptor	əkˈsɛptə	ə-k-s-é-p-t-ə	ㄦㄍㄙㄜㄅㄉㄦ	接受者
access	ˈæksɛs	a-k-s-é-s	ㄚㄍㄙㄜㄙ	通路
access time	ˈæksɛs taɪm	a-k-s-é-s- -t-ī-m	ㄚㄍㄙㄜㄙ ㄉㄚㄧㄇ	存取時間
accessible	əkˈsɛsəbl	ə-k-s-é-s-ə-b-l	ㄦㄍㄙㄜㄙㄦㄅㄌ	易接近的
accession	ækˈsɛʃ(ə)n	a-k-s-é-sh-ə--n-	ㄚㄍㄙㄜㄕㄦㄋ	到達
accessorize	accessorize	acce-s-s-o-r-ē-z-e	ㄚㄕㄕㄝㄙㄙㄛㄖㄧㄗㄝ	附加
accessory	əkˈsɛsəri	-ə-k-s-é-s-ə-r-ē	ㄦㄍㄙㄜㄙㄦㄖㄧ	附件
accidence	ˈæksɪdəns	a-k-s-i-d-ə-n-s	ㄚㄍㄙㄧㄉㄣㄙ	詞態變化
accident	ˈæksɪdənt	a-k-s-i-d-ə-n-t	ㄚㄍㄙㄧㄉㄣㄉ	意外事件
accident-prone	ˈæksɪdənt-prəʊn	a-k-s-i-d-ə-n-t-p-r-ə-oo-n	ㄚㄍㄙㄧㄉㄣㄉ-ㄅㄖㄦㄡㄋ	易出事故的
accidental	ˌæksɪˈdɛntl	a-k-s-i-d-é-n-t-l	ㄚㄍㄙㄧㄉㄜㄋㄉㄌ	意外的
accidentally	ˌæksɪˈdɛntəli	a-k-s-i-d-é-n-t-ə-l-ē-	ㄚㄍㄙㄧㄉㄜㄋㄉㄦㄌㄧ	偶然地
accidie	accidie	acc-ē-d-ē-e	ㄚㄕㄕㄧㄉㄧㄝ	倦怠
accipiter	accipiter	acc-ē-p-ē-t-e-r	ㄚㄕㄕㄧㄅㄧㄉㄝㄖ	鷹屬禽鳥
acclaim	əˈkleɪm	ə-k-l-ā-m	ㄦㄍㄌㄝㄧㄇ	喝彩
acclamation	ˌækləˈmeɪʃ(ə)n	a-k-l-ə-m-ā-sh-ə--n	ㄚㄍㄌㄦㄇㄝㄧㄕㄦㄋ	歡呼
acclimate	əˈklaɪmeɪt	ə-k-l-ī-m-ā-t	ㄦㄍㄌㄚㄧㄇㄝㄧㄉ	使適應
acclivity	əˈklɪvɪti	ə-k-l-i-v-i-t-ē	ㄦㄍㄌㄧㄈㄧㄉㄧ	上坡
accolade	ækəʊleɪd	a-k-ə-oo-l-ā-d	ㄚㄍㄦㄡㄌㄝㄧㄉ	榮譽
accommodate	əˈkɒmədeɪt	ə-k-o-m-ə-d-ā-t	ㄦㄍㄛㄇㄦㄉㄝㄧㄉ	使適應
accommodating	əˈkɒmədeɪtɪŋ	ə-k-o-m-ə-d-ā-t-i-ng	ㄦㄍㄛㄇㄦㄉㄝㄧㄉㄧㄥ	與人方便的
accommodation	əˌkɒməˈdeɪʃ(ə)n	ə-k-o-m-ə-d-ā-sh-ə--n	ㄦㄍㄛㄇㄦㄉㄝㄧㄕㄦㄋ	膳宿
accommodation ladder	əˌkɒməˈdeɪʃ(ə)n ˈlædə	ə-k-o-m-ə-d-ā-sh-ə--n- -l-a-d-ə	ㄦㄍㄛㄇㄦㄉㄝㄧㄕㄦㄋ ㄌㄚㄉㄦ	舷梯
accommodationist	əˌkɒməˈdeɪʃ(ə)nɪst	ə-k-o-m-ə-d-ā-sh-ə--n-i-s-t	ㄦㄍㄛㄇㄦㄉㄝㄧㄕㄦㄋㄧㄙㄉ	妥協遷就者
accompaniment	əˈkʌmpənɪmənt	ə-k-u-m-p-ə-n-i-m-ə-n-t	ㄦㄍㄨㄇㄅㄣㄧㄇㄣㄉ	伴隨物
accompanist	əˈkʌmpənɪst	ə-k-u-m-p-ə-n-i-s-t	ㄦㄍㄨㄇㄅㄣㄧㄙㄉ	伴奏者
accompany	əˈkʌmpəni	ə-k-u-m-p-ə-n-ē	ㄦㄍㄨㄇㄅㄣㄧ	陪伴
accomplice	əˈkɒmplɪs	ə-k-o-m-p-l-i-s	ㄦㄍㄛㄇㄅㄌㄧㄙ	共犯
accomplish	əˈkɒmplɪʃ	ə-k-o-m-p-l-i-sh	ㄦㄍㄛㄇㄅㄌㄧㄕ	完成
accomplished	əˈkɒmplɪʃt	ə-k-o-m-p-l-i-sh-t	ㄦㄍㄛㄇㄅㄌㄧㄕㄉ	完成的
accomplishment	əˈkɒmplɪʃmənt	ə-k-o-m-p-l-i-sh-m-ə-n-t	ㄦㄍㄛㄇㄅㄌㄧㄕㄇㄣㄉ	成就
accord	əˈkɔːd	ə-k-ô-d	ㄦㄍㄛㄉ	一致
accordance	əˈkɔːdəns	ə-k-ô-d-ə-n-s	ㄦㄍㄛㄉㄣㄙ	一致
accordant	əˈkɔːdənt	ə-k-ô-d-ə-n-t	ㄦㄍㄛㄉㄣㄉ	一致的
according	əˈkɔːdɪŋ	ə-k-ô-d-i-ng	ㄦㄍㄛㄉㄧㄥ	相符的
accordingly	əˈkɔːdɪŋli	ə-k-ô-d-i-ng-l-ē	ㄦㄍㄛㄉㄧㄥㄌㄧ	相應地
accordion	əˈkɔːdjən	ə-k-ô-d-y-ə-n	ㄦㄍㄛㄉㄡㄣ	手風琴
accost	əˈkɒst	ə-k-o-s-t	ㄦㄍㄛㄙㄉ	招呼
accouchement	əˈkuːʃmɑːŋ	ə-k-ū-sh-m-ä-ng	ㄦㄍㄨㄕㄇㄚㄥ	分娩
accoucheur	ˌækuːˈʃɜː	a-k-ū-sh-û	ㄚㄍㄨㄕㄦ	男助產士
account	əˈkaʊnt	ə-k-o-w-n-t	ㄦㄍㄚㄡㄋㄉ	報告
account executive	əˈkaʊnt ɪgˈzɛkjʊtɪv	ə-k-o-w-n-t- -i-g-z-é-k-y-oo-t-i-v	ㄦㄍㄚㄡㄋㄉ ㄧㄍㄗㄜㄍㄡㄡㄉㄧㄈ	客戶執行人
account rendered	əˈkaʊnt ˈrɛndəd	ə-k-o-w-n-t- -r-é-n-d-ə-d	ㄦㄍㄚㄡㄋㄉ ㄖㄜㄋㄉㄦㄉ	報帳
accountability	əˌkaʊntəˈbɪlɪti	ə-k-o-w-n-t-ə-b-i-l-i-t-ē	ㄦㄍㄚㄡㄋㄉㄦㄅㄧㄌㄧㄉㄧ	負有責任
accountable	əˈkaʊntəbl	ə-k-o-w-n-t-ə-b-l	ㄦㄍㄚㄡㄋㄉㄦㄅㄌ	負有責任的
accountancy	əˈkaʊntənsi	ə-k-o-w-n-t-ə-n-s-ē	ㄦㄍㄚㄡㄋㄉㄣㄙㄧ	會計工作
accountant	əˈkaʊntənt	ə-k-o-w-n-t-ə-n-t	ㄦㄍㄚㄡㄋㄉㄣㄉ	會計人員
accounting	əˈkaʊntɪŋ	ə-k-o-w-n-t-i-ng	ㄦㄍㄚㄡㄋㄉㄧㄥ	會計學
accounts payable	əˈkaʊnts ˈpeɪəbl	ə-k-o-w-n-t-s- -p-ā-ə-b-l	ㄦㄍㄚㄡㄋㄗ ㄅㄝㄧㄦㄅㄌ	應付帳款
accounts receivable	əˈkaʊnts rɪˈsiːvəbl	ə-k-o-w-n-t-s- -r-i-s-ē-v-ə-b-l	ㄦㄍㄚㄡㄋㄗ ㄖㄧㄙㄧㄈㄦㄅㄌ	應收帳款
accoutre	əˈkuːtə	ə-k-ū-t-ə	ㄦㄍㄨㄉㄦ	供以服裝
accoutrement	əˈkuːtəmənt	ə-k-ū-t-ə-m-ə-n-t	ㄦㄍㄨㄉㄦㄇㄣㄉ	裝備
accra	əˈkrɑː	ə-k-r-ä	ㄦㄍㄖㄚ	阿克拉
accredit	əˈkrɛdɪt	ə-k-r-é-d-i-t	ㄦㄍㄖㄜㄉㄧㄉ	信託
accrete	əˈkriːt	ə-k-r-ē-t	ㄦㄍㄖㄧㄉ	連生
accretion	æˈkriːʃ(ə)n	a-k-r-ē-sh-ə--n	ㄚㄍㄖㄧㄕㄦㄋ	自然增大
accrue	əˈkruː	ə-k-r-ū-	ㄦㄍㄖㄨ	自然增加
accumbent	accumbent	acc-ū-m-b-e-n-t	ㄚㄕㄕㄨㄇㄅㄝㄋㄉ	橫臥的
accumulate	əˈkjuːmjʊleɪt	ə-k-yü-m-y-oo-l-ā-t	ㄦㄍㄡㄨㄇㄡㄡㄌㄝㄧㄉ	積聚
accumulation	əˌkjuːmjʊˈleɪʃ(ə)n	ə-k-yü-m-y-oo-l-ā-sh-ə--n	ㄦㄍㄡㄨㄇㄡㄡㄌㄝㄧㄕㄦㄋ	積聚
accumulative	əˈkjuːmjʊlətɪv	ə-k-yü-m-y-oo-l-ə-t-i-v	ㄦㄍㄡㄨㄇㄡㄡㄌㄦㄉㄧㄈ	積聚而成的
accumulator	əˈkjuːmjʊleɪtə	ə-k-yü-m-y-oo-l-ā-t-ə	ㄦㄍㄡㄨㄇㄡㄡㄌㄝㄧㄉㄦ	積聚者
accuracy	ˈækjʊrəsi	a-k-y-oo-r-ə-s-ē	ㄚㄍㄡㄡㄖㄦㄙㄧ	精確
accurate	ˈækjʊrɪt	a-k-y-oo-r-i-t	ㄚㄍㄡㄡㄖㄧㄉ	正確的
accursed	əˈkɜːsɪd	ə-k-û-s-i-d	ㄦㄍㄦㄙㄧㄉ	被咒的
accurst	əˈkɜːst	ə-k-û-s-t	ㄦㄍㄦㄙㄉ	被咒的
accusation	ˌækju(ː)ˈzeɪʃ(ə)n	a-k-yü---z-ā-sh-ə--n	ㄚㄍㄡㄨㄗㄝㄧㄕㄦㄋ	控告
accusative	əˈkjuːzətɪv	ə-k-yü-z-ə-t-i-v	ㄦㄍㄡㄨㄗㄦㄉㄧㄈ	賓格的
accusatory	əˈkjuːzətəri	ə-k-yü-z-ə-t-ə-r-ē	ㄦㄍㄡㄨㄗㄦㄉㄦㄖㄧ	控訴的
accuse	əˈkjuːz	ə-k-yü-z	ㄦㄍㄡㄨㄗ	指責
accusing	əˈkjuːzɪŋ	ə-k-yü-z-i-ng	ㄦㄍㄡㄨㄗㄧㄥ	指責的
accustom	əˈkʌstəm	ə-k-u-s-t-ə-m	ㄦㄍㄨㄙㄉㄦㄇ	使習慣于
accustomed	əˈkʌstəmd	ə-k-u-s-t-ə-m-d	ㄦㄍㄨㄙㄉㄦㄇㄉ	慣常的
ace	eɪs	ā-s	ㄝㄧㄙ	么點
Ace bandage	eɪs ˈbændɪʤ	ā-s- -b-a-n-d-i-y-	ㄝㄧㄙ ㄅㄚㄋㄉㄧㄓ	布織繃帶
acedia	acedia	ace-d-ē-a	ㄚㄕㄝㄉㄧㄚ	倦怠
acentric	acentric	ace-n-t-r-ē-c	ㄚㄕㄝㄋㄉㄖㄧㄕ	無中心的
acephalous	əˈsɛfələs	-ə-s-é-f-ə-l-ə-s-	ㄦㄙㄜㄈㄦㄌㄦㄙ	無頭的
acerb	acerb	ace-r-b-	ㄚㄕㄝㄖㄅ	酸澀的
acerbic	acerbic	ace-r-b-ē-c	ㄚㄕㄝㄖㄅㄧㄕ	酸的
acetabulum	acetabulum	ace-t-a-b-ū-l-ū-m-	ㄚㄕㄝㄉㄚㄅㄨㄌㄨㄇ	髖臼
acetal	acetal	ace-t-a-l-	ㄚㄕㄝㄉㄚㄌ	乙縮醛
acetaldehyde	acetaldehyde	ace-t-a-l-d-e-h-y-d-e	ㄚㄕㄝㄉㄚㄌㄉㄝㄏㄩㄉㄝ	乙醛
acetate	ˈæsɪtɪt	-a-s-i-t-i-t	ㄚㄙㄧㄉㄧㄉ	醋酸鹽
acetic	əˈsiːtɪk	ə-s-ē-t-i-k	ㄦㄙㄧㄉㄧㄍ	醋的
acetic acid	əˈsiːtɪk ˈæsɪd	ə-s-ē-t-i-k- -a-s-i-d-	ㄦㄙㄧㄉㄧㄍ ㄚㄙㄧㄉ	乙酸
acetobacter	acetobacter	ace-t-o-b-ac-t-e-r-	ㄚㄕㄝㄉㄛㄅㄚㄕㄉㄝㄖ	醋酸桿菌屬
acetonaemia	acetonaemia	ace-t-o-n-ae-m-ē-a	ㄚㄕㄝㄉㄛㄋㄚㄝㄇㄧㄚ	丙酮血
acetone	ˈæsɪˌtəʊn	-a-s-i-t-ə-oo-n	ㄚㄙㄧㄉㄦㄡㄋ	丙酮
acetous	ˈæsɪtəs	a-s-i-t-ə-s	ㄚㄙㄧㄉㄦㄙ	醋的
acetylene	əˈsɛtɪliːn	ə-s-é-t-i-l-ē-n-	ㄦㄙㄜㄉㄧㄌㄧㄋ	乙炔
acetylide	acetylide	ace-t-y-l-ē-d-e	ㄚㄕㄝㄉㄩㄌㄧㄉㄝ	乙炔化物
Achaean	Achaean	Ac-h-aea-n-	Aㄕㄏㄚㄝㄢ	亞加亞的
achalasia	achalasia	ac-h-a-l-a-s-ē-a	ㄚㄕㄏㄚㄌㄚㄙㄧㄚ	弛緩不能
Achates	Achates	Ac-h-a-t-e-s	Aㄕㄏㄚㄉㄝㄙ	阿凱提斯
ache	eɪk	ā-k-	ㄝㄧㄍ	疼痛
achene	achene	ac-h-e-n-e	ㄚㄕㄏㄝㄋㄝ	瘦果
Acheron	Acheron	Ac-h-e-r-o-n	Aㄕㄏㄝㄖㄛㄋ	冥河
achieve	əˈʧiːv	ə-ch-ē-v	ㄦㄓㄧㄈ	完成
achievement	əˈʧiːvmənt	ə-ch-ē-v-m-ə-n-t-	ㄦㄓㄧㄈㄇㄣㄉ	完成
achillea	achillea	ac-h-ē-l-l-ea	ㄚㄕㄏㄧㄌㄌㄝㄚ	歐蓍草
Achilles	əˈkɪliːz	-ə-k-i-l-ē-z	ㄦㄍㄧㄌㄧㄗ	阿喀琉斯
Achilles tendon	əˈkɪliːz ˈtɛndən	ə-k-i-l-ē-z- -t-é-n-d-ə-n	ㄦㄍㄧㄌㄧㄗ ㄉㄜㄋㄉㄣ	跟腱
aching	ˈeɪkɪŋ	ā-k-i-ng-	ㄝㄧㄍㄧㄥ	疼痛的
achiral	achiral	ac-h-ē-r-a-l-	ㄚㄕㄏㄧㄖㄚㄌ	非手性
achlorhydria	achlorhydria	ac-h-l-o-r-h-y-d-r-ē-a	ㄚㄕㄏㄌㄛㄖㄏㄩㄉㄖㄧㄚ	胃酸缺乏
achromat	achromat	ac-h-r-o-m-a-t	ㄚㄕㄏㄖㄛㄇㄚㄉ	消色差透鏡
achromatic	ˌækrəʊˈmætɪk	a-k-r-ə-oo-m-a-t-i-k	ㄚㄍㄖㄦㄡㄇㄚㄉㄧㄍ	無色的
achromatic lens	ˌækrəʊˈmætɪk lɛnz	a-k-r-ə-oo-m-a-t-i-k- -l-é-n-z-	ㄚㄍㄖㄦㄡㄇㄚㄉㄧㄍ ㄌㄜㄋㄗ	消色差透鏡
achy	achy	ac-h-y	ㄚㄕㄏㄩ	疼痛的
acicular	acicular	ac-ē-c-ū-l-a-r	ㄚㄕㄧㄕㄨㄌㄚㄖ	針形的
acid	ˈæsɪd	a-s-i-d	ㄚㄙㄧㄉ	酸
acid rain	ˈæsɪd reɪn	a-s-i-d- -r-ā-n	ㄚㄙㄧㄉ ㄖㄝㄧㄋ	酸雨
acid rock	ˈæsɪd rɒk	a-s-i-d- -r-o-k	ㄚㄙㄧㄉ ㄖㄛㄍ	酸性岩
acid salt	ˈæsɪd sɔːlt	a-s-i-d- -s-ô-l-t	ㄚㄙㄧㄉ ㄙㄛㄌㄉ	酸式鹽
acid test	ˈæsɪd tɛst	a-s-i-d- -t-é-s-t	ㄚㄙㄧㄉ ㄉㄜㄙㄉ	硝酸試金法
acid-fast	ˈæsɪd-fɑːst	a-s-i-d-f-ä-s-t	ㄚㄙㄧㄉ-ㄈㄚㄙㄉ	耐酸的
acidic	əˈsɪdɪk	ə-s-i-d-i-k	ㄦㄙㄧㄉㄧㄍ	成酸的
acidify	əˈsɪdɪfaɪ	ə-s-i-d-i-f-ī-	ㄦㄙㄧㄉㄧㄈㄚㄧ	使變酸
acidimetry	acidimetry	ac-ē-d-ē-m-e-t-r-y	ㄚㄕㄧㄉㄧㄇㄝㄉㄖㄩ	酸量法
acidity	əˈsɪdɪti	-ə-s-i-d-i-t-ē	ㄦㄙㄧㄉㄧㄉㄧ	酸性
acidly	ˈæsɪdli	a-s-i-d-l-ē-	ㄚㄙㄧㄉㄌㄧ	尖刻地
acidophil	acidophil	ac-ē-d-o-p-h-ē-l-	ㄚㄕㄧㄉㄛㄅㄏㄧㄌ	嗜酸的
acidophilic	acidophilic	ac-ē-d-o-p-h-ē-l-ē-c	ㄚㄕㄧㄉㄛㄅㄏㄧㄌㄧㄕ	嗜酸的
acidosis	acidosis	ac-ē-d-o-s-ē-s-	ㄚㄕㄧㄉㄛㄙㄧㄙ	酸中毒
acidulate	acidulate	ac-ē-d-ū-l-a-t-e	ㄚㄕㄧㄉㄨㄌㄚㄉㄝ	使酸化
acidulous	əˈsɪdjʊləs	-ə-s-i-d-y-oo-l-ə-s-	ㄦㄙㄧㄉㄡㄡㄌㄦㄙ	帶酸味的
acinus	acinus	ac-ē-n-ū-s-	ㄚㄕㄧㄋㄨㄙ	小核果
ack emma	ack ˈɛmə	ac-k- -é-m-ə	ㄚㄕㄍ ㄜㄇㄦ	上午
ack-ack	ˈækˈæk	a-k-a-k	ㄚㄍㄚㄍ	高射砲
acknowledge	əkˈnɒlɪʤ	ə-k-n-o-l-i-y	ㄦㄍㄋㄛㄌㄧㄓ	承認
acknowledged	əkˈnɒlɪʤd	ə-k-n-o-l-i-y-d	ㄦㄍㄋㄛㄌㄧㄓㄉ	公認的
acknowledgement	əkˈnɒlɪʤmənt	ə-k-n-o-l-i-y-m-ə-n-t	ㄦㄍㄋㄛㄌㄧㄓㄇㄣㄉ	承認
aclinic line	əˈklɪnɪk laɪn	ə-k-l-i-n-i-k- -l-ī-n	ㄦㄍㄌㄧㄋㄧㄍ ㄌㄚㄧㄋ	無傾線
acme	ˈækmi	a-k-m-ē	ㄚㄍㄇㄧ	頂點
acne	ˈækni	a-k-n-ē	ㄚㄍㄋㄧ	痤瘡
acolyte	ˈækəʊlaɪt	a-k-ə-oo-l-ī-t	ㄚㄍㄦㄡㄌㄚㄧㄉ	侍僧
aconite	ˈækənaɪt	a-k-ə-n-ī-t-	ㄚㄍㄣㄚㄧㄉ	烏頭
aconitine	aconitine	aco-n-ē-t-ē-n-e	ㄚㄕㄛㄋㄧㄉㄧㄋㄝ	烏頭堿
acorn	ˈeɪkɔːn	-ā-k-ô-n-	ㄝㄧㄍㄛㄋ	橡樹果實
acotyledon	acotyledon	aco-t-y-l-e-d-o-n	ㄚㄕㄛㄉㄩㄌㄝㄉㄛㄋ	無子葉植物
acoustic	əˈkuːstɪk	ə-k-ū-s-t-i-k	ㄦㄍㄨㄙㄉㄧㄍ	聽覺的
acoustic coupler	əˈkuːstɪk ˈkʌplə	ə-k-ū-s-t-i-k- -k-u-p-l-ə	ㄦㄍㄨㄙㄉㄧㄍ ㄍㄨㄅㄌㄦ	聲音耦合器
acoustic impedance	əˈkuːstɪk ɪmˈpiːdəns	ə-k-ū-s-t-i-k- -i-m-p-ē-d-ə-n-s	ㄦㄍㄨㄙㄉㄧㄍ ㄧㄇㄅㄧㄉㄣㄙ	聲阻抗
acoustic shock	əˈkuːstɪk ʃɒk	ə-k-ū-s-t-i-k- -sh-o-k-	ㄦㄍㄨㄙㄉㄧㄍ ㄕㄛㄍ	聲震
acoustician	acoustician	aco-ū-s-t-ē-c-ē-a-n	ㄚㄕㄡㄙㄉㄧㄕㄧㄢ	聲學家
acquaint	əˈkweɪnt	ə-k-w-ā-n-t	ㄦㄍㄨㄝㄧㄋㄉ	使認識
acquaintance	əˈkweɪntəns	ə-k-w-ā-n-t-ə-n-s	ㄦㄍㄨㄝㄧㄋㄉㄣㄙ	認識
acquiesce	ˌækwɪˈɛs	a-k-w-i-é-s	ㄚㄍㄨㄧㄜㄙ	默許
acquiescence	ˌækwɪˈɛsns	a-k-w-i-é-s-n-s	ㄚㄍㄨㄧㄜㄙㄋㄙ	默許
acquiescent	ˌækwɪˈɛsnt	a-k-w-i-é-s-n-t	ㄚㄍㄨㄧㄜㄙㄋㄉ	默許的
acquire	əˈkwaɪə	ə-k-w-ī-ə	ㄦㄍㄨㄚㄧㄦ	獲得
acquired character	əˈkwaɪəd ˈkærɪktə	ə-k-w-ī-ə-d- -k-a-r-i-k-t-ə	ㄦㄍㄨㄚㄧㄦㄉ ㄍㄚㄖㄧㄍㄉㄦ	獲得
acquirement	əˈkwaɪəmənt	ə-k-w-ī-ə-m-ə-n-t	ㄦㄍㄨㄚㄧㄦㄇㄣㄉ	取得
acquisition	ˌækwɪˈzɪʃ(ə)n	a-k-w-i-z-i-sh-ə--n	ㄚㄍㄨㄧㄗㄧㄕㄦㄋ	獲得
acquisitive	əˈkwɪzɪtɪv	ə-k-w-i-z-i-t-i-v	ㄦㄍㄨㄧㄗㄧㄉㄧㄈ	渴望獲得的
acquit	əˈkwɪt	ə-k-w-i-t	ㄦㄍㄨㄧㄉ	無罪釋放
acquittal	əˈkwɪtl	ə-k-w-i-t-l	ㄦㄍㄨㄧㄉㄌ	履行
acquittance	əˈkwɪtəns	ə-k-w-i-t-ə-n-s	ㄦㄍㄨㄧㄉㄣㄙ	債務豁免書
acre	ˈeɪkə	ā-k-ə	ㄝㄧㄍㄦ	英畝
acreage	ˈeɪkərɪʤ	ā-k-ə-r-i-y	ㄝㄧㄍㄦㄖㄧㄓ	英畝數
acrid	ˈækrɪd	a-k-r-i-d-	ㄚㄍㄖㄧㄉ	苦味的
Acrilan	Acrilan	Ac-r-ē-l-a-n	Aㄕㄖㄧㄌㄢ	阿克利綸
acrimonious	ˌækrɪˈməʊnjəs	a-k-r-i-m-ə-oo-n-y-ə-s	ㄚㄍㄖㄧㄇㄦㄡㄋㄡㄦㄙ	尖刻的
acrimony	ˈækrɪməni	a-k-r-i-m-ə-n-ē	ㄚㄍㄖㄧㄇㄣㄧ	嚴厲
acrobat	ˈækrəbæt	a-k-r-ə-b-a-t	ㄚㄍㄖㄦㄅㄚㄉ	表演特技者
acrobatic	ˌækrəʊˈbætɪk	a-k-r-ə-oo-b-a-t-i-k	ㄚㄍㄖㄦㄡㄅㄚㄉㄧㄍ	雜技演員的
acrobatics	ˌækrəʊˈbætɪks	a-k-r-ə-oo-b-a-t-i-k-s-	ㄚㄍㄖㄦㄡㄅㄚㄉㄧㄍㄙ	雜技
acrocyanosis	acrocyanosis	ac-r-ocya-n-o-s-ē-s-	ㄚㄕㄖㄛㄕㄩㄢㄛㄙㄧㄙ	手足發紺
acromegaly	acromegaly	ac-r-o-m-e-g-a-l-y	ㄚㄕㄖㄛㄇㄝㄍㄚㄌㄩ	肢端肥大症
acropetal	acropetal	ac-r-o-p-e-t-a-l-	ㄚㄕㄖㄛㄅㄝㄉㄚㄌ	趨向頂端的
acrophobia	acrophobia	ac-r-o-p-h-o-b-ē-a	ㄚㄕㄖㄛㄅㄏㄛㄅㄧㄚ	恐高症
across	əˈkrɒs	-ə-k-r-o-s	ㄦㄍㄖㄛㄙ	越過
acrostic	əˈkrɒstɪk	ə-k-r-o-s-t-i-k-	ㄦㄍㄖㄛㄙㄉㄧㄍ	離合詩
acrylate	acrylate	ac-r-y-l-a-t-e	ㄚㄕㄖㄩㄌㄚㄉㄝ	丙烯酸鹽
acrylic	əˈkrɪlɪk	-ə-k-r-i-l-i-k	ㄦㄍㄖㄧㄌㄧㄍ	丙烯酸的
acrylic acid	əˈkrɪlɪk ˈæsɪd	ə-k-r-i-l-i-k- -a-s-i-d	ㄦㄍㄖㄧㄌㄧㄍ ㄚㄙㄧㄉ	丙烯酸
act	ækt	a-k-t	ㄚㄍㄉ	行動
act of state	ækt ɒv steɪt	a-k-t- -o-v- -s-t-ā-t-	ㄚㄍㄉ ㄛㄈ ㄙㄉㄝㄧㄉ	國家行為
actin	actin	ac-t-ē-n	ㄚㄕㄉㄧㄋ	肌動蛋白
acting	ˈæktɪŋ	a-k-t-i-ng	ㄚㄍㄉㄧㄥ	演戲
actinic	ækˈtɪnɪk	a-k-t-i-n-i-k-	ㄚㄍㄉㄧㄋㄧㄍ	光化的
actinide	actinide	ac-t-ē-n-ē-d-e	ㄚㄕㄉㄧㄋㄧㄉㄝ	錒系元素
actinium	ækˈtɪnɪəm	-a-k-t-i-n-ē-ə-m-	ㄚㄍㄉㄧㄋㄧㄦㄇ	錒
actinolite	actinolite	ac-t-ē-n-o-l-ē-t-e	ㄚㄕㄉㄧㄋㄛㄌㄧㄉㄝ	陽起石
action	ˈækʃ(ə)n	-a-k-sh-ə--n	ㄚㄍㄕㄦㄋ	行動
action potential	ˈækʃ(ə)n pəʊˈtɛnʃəl	a-k-sh-ə--n- -p-ə-oo-t-é-n-sh-ə-l	ㄚㄍㄕㄦㄋ ㄅㄦㄡㄉㄜㄋㄕㄦㄌ	動作電位
activate	ˈæktɪveɪt	a-k-t-i-v-ā-t	ㄚㄍㄉㄧㄈㄝㄧㄉ	使活動
activated carbon	ˈæktɪveɪtɪd ˈkɑːbən	a-k-t-i-v-ā-t-i-d- -k-ä-b-ə-n	ㄚㄍㄉㄧㄈㄝㄧㄉㄧㄉ ㄍㄚㄅㄣ	活性炭
activated sludge	ˈæktɪveɪtɪd slʌʤ	a-k-t-i-v-ā-t-i-d- -s-l-u-y	ㄚㄍㄉㄧㄈㄝㄧㄉㄧㄉ ㄙㄌㄨㄓ	活性污泥
activation analysis	ˌæktɪˈveɪʃ(ə)n əˈnæləsɪs	a-k-t-i-v-ā-sh-ə--n- -ə-n-a-l-ə-s-i-s	ㄚㄍㄉㄧㄈㄝㄧㄕㄦㄋ ㄦㄋㄚㄌㄦㄙㄧㄙ	活化分析
activation energy	ˌæktɪˈveɪʃ(ə)n ˈɛnəʤi	a-k-t-i-v-ā-sh-ə--n- -é-n-ə-y-ē	ㄚㄍㄉㄧㄈㄝㄧㄕㄦㄋ ㄜㄋㄦㄓㄧ	活化能
active	ˈæktɪv	a-k-t-i-v	ㄚㄍㄉㄧㄈ	活躍的
active carbon	ˈæktɪv ˈkɑːbən	a-k-t-i-v- -k-ä-b-ə-n	ㄚㄍㄉㄧㄈ ㄍㄚㄅㄣ	活性炭
active duty	ˈæktɪv ˈdjuːti	a-k-t-i-v- -d-yü-t-ē	ㄚㄍㄉㄧㄈ ㄉㄡㄨㄉㄧ	現役
active immunity	ˈæktɪv ɪˈmjuːnɪti	a-k-t-i-v- -i-m-yü-n-i-t-ē	ㄚㄍㄉㄧㄈ ㄧㄇㄡㄨㄋㄧㄉㄧ	自動免疫性
active service	ˈæktɪv ˈsɜːvɪs	a-k-t-i-v- -s-û-v-i-s	ㄚㄍㄉㄧㄈ ㄙㄦㄈㄧㄙ	現役
active site	ˈæktɪv saɪt	a-k-t-i-v- -s-ī-t	ㄚㄍㄉㄧㄈ ㄙㄚㄧㄉ	活性部位
