ກ	A	k
ການ^ທຳນວາຍ	Prophecy	kaan^thamnwaany
ການ^ທຳລາຍ	Destruction	kaan^thamlaany
ການ^ທຳຮ້າຍ	Assault	kaan^thamaany
ການ^ທົດສອບ	Testing	kaan^thods`b
ການ^ທົດລອງ	Experiment	kaan^thodl`ng
ການ^ທົນທຸກ	Suffering	kaan^thonthuk
ການ^ນວດກາຍ	Body massage	kaan^nwdkaany
ການ^ນະມັດສະການ	Worship	kaan^namdsakaan
ການ^ນັບຖື	Respect	kaan^nbthyy
ການ^ນຳຊື່ສຽງ	Fame	kaan^namsyysnyng
ການ^ນຳພາ	Leadership	kaan^namphaa
ການ^ນິມິດ	Vision	kaan^nimid
ການ^ແນະນຳ	Introduction	kaan^einanam
ການ^ບໍ່^ເຊື່ອຟັງ	Disobedience	kaan^bM^esyy`fng
ການ^ບໍ່ມີ	The absence	kaan^bMmii
ການ^ບໍລິຫານ	Administration	kaan^bMlihaan
ການ^ບະບົນ	The promise	kaan^babon
ການ^ບັງຄັບບັນຊາ	Command and control	kaan^bngkhbbnsaa
ການ^ບັນຊາ	Command	kaan^bnsaa
ການ^ບັນດົນ^ໃຈ	Inspiration	kaan^bndon^aych
ການ^ບັນທຶກ	Recording	kaan^bnthyk
ການ^ບັນເທົາທຸກ	Relief	kaan^bnethoaathuk
ການ^ບາບຊົ່ວ	Evil sin	kaan^baabsow
ການ^ບີບບັງຄັບ	Coercion	kaan^biibbngkhb
ການ^ບຸກໂຈມຕີ	Attack	kaan^bukochmhii
ການ^ບຸກລຸກ	Invasion	kaan^bukluk
ການ^ບຸກຮຸກ	Invasion	kaan^bukuk
ການ^ບູຊາ	Worship	kaan^buusaa
ການ^ບົວລະບັດ	Care	kaan^bowlabd
ການ^ເບິ່ງແຍງ	Care	kaan^ebingeinyng
ການ^ແບ່ງປັນ	Sharing	kaan^eibngpn
ການ^ປ້ອງກັນ	Protection	kaan^p`ngkn
ການ^ປອງຮ້າຍ	The conspiracy	kaan^p`ngaany
ການ^ປ່ອຍຕົວ	Release	kaan^p`nyhow
ການ^ປອບໃຈ	Consolation	kaan^p`baych
ການ^ປະກາດ	Announcement	kaan^pakaad
ການ^ປະຊຸມ	Meeting	kaan^pasum
ການ^ປະຕິຫານ	The execution	kaan^pahihaan
ການ^ປະຕິຮູບ	Reform	kaan^pahiuub
ການ^ປະພຶດ	Behavior	kaan^paphyd
ການ^ປະໝາດ	Negligence	kaan^pahmaad
ການ^ປະຫັດ	The problem	kaan^pahd
ການ^ປາກເວົ້າ	Speech	kaan^paakewoaa
ການ^ປິດລ້ອມ	The siege	kaan^pidl`m
ການ^ປິ່ນປົວ	Treatment	kaan^pinpow
ການ^ປຸ້ນຈີ້	Robbery	kaan^punchii
ການ^ປຸ້ນສະດົມ	Plunder	kaan^punsadom
ການ^ປູກຝັງ	Farming	kaan^puukfng
ການ^ປົກປ້ອງ	Protection	kaan^pokp`ng
ການ^ປົດປ່ອຍ	Liberation	kaan^podp`ny
ການ^ປົວແປງ	Repair	kaan^poweipng
ການ^ປ່ຽນໃຈ	Change of heart	kaan^pnynaych
ການ^ເປັນ	The ^is	kaan^epn
ການ^ເປັນ^ທາດ	Slavery	kaan^epn^thaad
ການ^ເປັນສັດຕູ^ກັນ	Enmity	kaan^epnsdhuu^kn
ການ^ເປັນຜູ້ລ້ຽງ	Being a shepherd	kaan^epnphuulnyng
ການ^ເປັນໃຫຍ່	Growing up	kaan^epnayhny
ການ^ແປ	Translation	kaan^eip
ການ^ໄປມາ	Traveling	kaan^aipmaa
ການ^ຜິດສັງເກດ	Mistake	kaan^phidsngekd
ການ^ຜິດຖຽງກັນ	Quarrel	kaan^phidthnyngkn
ການ^ຜິດບາບ	Sin	kaan^phidbaab
ການ^ຜິດພາດ	Mistake	kaan^phidphaad
ການ^ຝຶກ	Training	kaan^fyk
ການ^ຝຶກຊ້ອມ	Rehearsal	kaan^fyks`m
ການ^ຝຶກຫັດ	Training	kaan^fykhd
ການ^ຝຶກແອບ	Training	kaan^fykei`b
ການ^ເຝົ້າຍາມ	Guarding	kaan^efoaanyaam
ການ^ພໍໃຈ	Satisfaction	kaan^phMaych
ການ^ພະຍາຍາມ	The attempt	kaan^phanyaanyaam
ການ^ພັກຜ່ອນ	Rest	kaan^phkph`n
ການ^ພ່າຍແພ້	Defeat	kaan^phaanyeiph
ການ^ພິພາກສາ	Judgment	kaan^phiphaaksaa
ການ^ພຽງພໍ	Enough	kaan^phnyngphM
ການ^ເພາະປູກ	Planting	kaan^ephaaapuuk
ການ^ເພິ່ງພາ	Dependence	kaan^ephingphaa
ການ^ຟ້ອນລຳ	The dance	kaan^f`nlam
ການ^ຟ້ອນລຳ^ທຳເພງ	Dancing, singing, and dancing	kaan^f`nlam^thamephng
ການ^ຟ້າວຟັ່ງ	Rushing	kaan^faawfng
ການ^ມ່ວນຊື່ນ	Entertainment	kaan^mwnsyyn
ການ^ມາ	The arrival	kaan^maa
ການ^ມິດງຽບ	Silence	kaan^midngnyb
ການ^ໂມທະນາ	Discussion	kaan^omthanaa
ການ^ຢ້ານກົວ	Fear	kaan^yaankow
ການ^ຢ່າຮ້າງ	Divorce	kaan^yaaaang
ການ^ຢຳເກງ	Fear	kaan^yamekng
ການ^ຢຶດ	Confiscation	kaan^yyd
ການ^ຢຶດຖື	Seizure	kaan^yydthyy
ການ^ຢືນຢັນ	Confirmation	kaan^yyynyn
ການ^ຢູ່ໃຕ້	Being under	kaan^yuuayh
ການ^ລັກໂລບ	Theft	kaan^lkolb
ການ^ລ້າງແຄ້ນ	Revenge	kaan^laangeikhn
ການ^ລຳບາກ	Trouble	kaan^lambaak
ການ^ລຶບລ້າງ	The erasure	kaan^lyblaang
ການ^ລົງໂທດ	Punishment	kaan^longothd
ການ^ລົງໂທດ^ທັນ	Punishment	kaan^longothd^thn
ການ^ລົງມື	Action	kaan^longmyy
ການ^ລົບ	Deletion	kaan^lob
ການ^ລົບລາ^ຂ້າຟັນ	The killing of donkeys	kaan^loblaa^khaafn
ການ^ລົບລາຂ້າຟັນ	The killing of donkeys	kaan^loblaakhaafn
ການ^ລົບລ້າງ	Elimination	kaan^loblaang
ການ^ລົ້ມລົງ	The collapse	kaan^lomlong
ການ^ເລີ່ມຕົ້ນໃໝ່	A new beginning	kaan^eliimhonayhm
ການ^ແລ່ນແຂ່ງ	Racing	kaan^eilneikhng
ການ^ໄລ່ຕາມ	Pursuit	kaan^ailhaam
ການ^ວັດແທກ	Measurement	kaan^wdeithk
ການ^ວາງ^ອຸບາຍ	The trick	kaan^waang^`ubaany
ການ^ວາງແຜນ	Planning	kaan^waangeiphn
ການ^ວິວາດ	The conflict	kaan^wiwaad
ການ^ວິວາດກັນ	Conflict	kaan^wiwaadkn
ການ^ເວົ້າ^ຂວັນ	Speech	kaan^ewoaa^khwn
ການ^ເວົ້າຂວັນຄົນ	Talking about people	kaan^ewoaakhwnkhon
ການ^ເວົ້າຕົວະ	Lying	kaan^ewoaahowa
ການ^ໄວ້ໃຈ	Trust	kaan^aiwaych
ການ^ໄວ້ທຸກ	Mourning	kaan^aiwthuk
ການ^ຫຍໍ້ຫຍັນ	Abbreviation	kaan^hnyMhnyn
ການ^ໜັກ	Weight	kaan^hnk
ການ^ໜ້າຢ້ານກົວ	The scary face	kaan^hnaayaankow
ການ^ໜູນໃຈ	Encouragement	kaan^hnuunaych
ການ^ຫລອກລວງ	Deception	kaan^hl`klwng
ການ^ຫລິ້ນຊູ້	Adultery	kaan^hlinsuu
ການ^ຫັກຫລັງ	Backbreaking	kaan^hkhlng
ການ^ຫາຄວາມຮູ້	The pursuit of knowledge	kaan^haakhwaamuu
ການ^ຫາເມຍ	Finding a wife	kaan^haaemny
ການ^ຫົດສົງ	The blessing	kaan^hodsong
ການ^ຫົວເລາະ	Laughter	kaan^howelaaa
ການ^ຫຼົ້ມຈົມ	Drowning	kaan^hlomchom
ການ^ຫ້ຽມໂຫດ	Cruelty	kaan^hnymohd
ການ^ແຫ້ງແລ້ງ	Drought	kaan^eihngeilng
ການ^ໂຫດຮ້າຍ	Cruelty	kaan^ohdaany
ການ^ໂຫດຮ້າຍ^ທາລຸນ	Cruelty	kaan^ohdaany^thaalun
ການ^ໃຫ້ທານ	Almsgiving	kaan^ayhthaan
ການ^ໄຫວ້^ຮູບເຄົາຣົບ	Idol worship	kaan^aihw^uubekhoaarob
ການ^ໄຫວ້ວອນ	Prayer	kaan^aihww`n
ການ^ອວດດີ	Arrogance	kaan^`wddii
ການ^ອວດອົ່ງ	Pride	kaan^`wd`ong
ການ^ອະຍຸດຕິທຳ	Injustice	kaan^`anyudhitham
ການ^ອະທຳ	Crime	kaan^`atham
ການ^ອະທິບາຍ	Explanation	kaan^`athibaany
ການ^ອັດສະຈັນ	Miracle	kaan^`dsachn
ການ^ອັດສະຈັນ^ຕ່າງໆ	Miracles	kaan^`dsachn^haang+
ການ^ອັດສະຈັນ^ທັງຫຼາຍ	All the miracles	kaan^`dsachn^thnghlaany
ການ^ອາໄສ	Residence	kaan^`aaais
ການ^ອິດທິຣິດ	The power of the	kaan^`idthirid
ການ^ອຶກຢາກ	Hunger	kaan^`ykyaak
ການ^ອຶດຕາຍ	Starvation	kaan^`ydhaany
ການ^ອຶດຢາກ	Hunger	kaan^`ydyaak
ການ^ອຶດອາຫານ	Hunger	kaan^`yd`aahaan
ການ^ອຸທິດ	Dedication	kaan^`uthid
ການ^ອຸທິດຕົນ	Dedication	kaan^`uthidhon
ການ^ອຸທິດຕົວ	Dedication	kaan^`uthidhow
ການ^ອູ້ມຊູ	Support	kaan^`uumsuu
ການ^ອົດເຂົ້າ	Fasting	kaan^`odekhoaa
ການ^ອົດອາຫານ	Fasting	kaan^`od`aahaan
ການ^ແອບສອນ	Teaching	kaan^ei`bs`n
ການ^ໂອ້ລົມ	Conversation	kaan^o`lom
ການ^ຮ້ອງຄາງ	The groaning	kaan^`ngkhaang
ການ^ຮ້ອງເພງ	Singing	kaan^`ngephng
ການ^ຮ້ອງໄຫ້	Crying	kaan^`ngaih
ການ^ຮັກສາ	Maintenance	kaan^ksaa
ການ^ຮັບໃຊ້	Service	kaan^bays
ການ^ຮຸກຮານ	Aggression	kaan^ukaan
ການ^ຮຸນແຮງ	Violence	kaan^uneing
ການ^ຮູ້ຈັກ	Knowledge	kaan^uuchk
ການ^ຮູ້ເທົ່າ^ບໍ່^ເຖິງການ	Knowing is not enough.	kaan^uuethoaa^bM^ethingkaan
ການ^ຮົກຮ້າງ	Destruction	kaan^okaang
ການ^ຮົບ	Battle	kaan^ob
ການ^ຮົບເສິກ	War	kaan^obesik
ການ^ຮຽກຮ້ອງ	Request	kaan^nyk`ng
ການ^ຮຽນຮູ້	Learning	kaan^nynuu
ການ^ເຮັດ^ເສິກ	War	kaan^ed^esik
ການ^ເຮັດ^ຊົ່ວ	Evil deeds	kaan^ed^sow
ການ^ເຮັດຊົ່ວ	Evil doing	kaan^edsow
ການ^ໂຮຮ້ອງ	Shouting	kaan^o`ng
ການ||ພາວັນນາ^ອະທິຖານ	Prayer	kaan||phaawnnaa^`athithaan
ການກະທຳ	Action	kaankatham
ການກະທຳ^ຊົ່ວ	Evil deeds	kaankatham^sow
ກ້ານກໍ່າ	Bamboo stalk	kaankMaa
ການກິນ	Eating	kaankin
ການກົດຂີ່	Oppression	kaankodkhii
ການໂກນ	Shaving	kaanokn
ການຂາຍ	Sales	kaankhaany
ການຂາດແຄນ	Shortage	kaankhaadeikhn
ການຂາບໄຫວ້	Worship	kaankhaabaihw
ການຂຽນ	Writing	kaankhnyn
ການຄວນຄາງ	Lamentation	kaankhwnkhaang
ການຄວບຄຸບ	Control	kaankhwbkhub
ການຄ້າ	Trade	kaankhaa
ການຄາດຕະກຳ	Murder	kaankhaadhakam
ການງານ	Work	kaanngaan
ການເງິນ	Finance	kaanengin
ການຈັດຕັ້ງ	Organization	kaanchdhng
ການສະໜັບ^ສະໜູນ	Support	kaansahnb^sahnuun
ການສ້າງ	Creation	kaansaang
ການຊ່ວຍ^ໃຫ້ພົ້ນ	Rescue	kaanswny^ayhphon
ການຊຳລະ	Payment	kaansamla
ການຊົ່ວ	Evil	kaansow
ການເຊື່ອງ	Hiding	kaanesyy`ng
ການດີ	Good deeds	kaandii
ການດີ^ການຊອບ	Goodness^Likeness	kaandii^kaans`b
ການເດອານ	The Deacon	kaaned`aan
ການເດົາ	Guessing	kaanedoaa
ການໄດ້ຍິນ	Hearing	kaanaidnyin
ການຕອບ	Reply	kaanh`b
ການຕັດສິນ	Judgment	kaanhdsin
ການຕາຍ	Death	kaanhaany
ກ້ານຕານ	Palm tree	kaanhaan
ການຕີ	Beating	kaanhii
ການຕົວະ	Lying	kaanhowa
ການຕຽມ	Preparation	kaanhnym
ການຖວາຍ	Offering	kaanthwaany
ການຖວາຍບູຊາ	Sacrifice	kaanthwaanybuusaa
ການໄຖ່	Redemption	kaanaith
ການທະຫານ	Military service	kaanthahaan
ການທຳລາຍ	Destruction	kaanthamlaany
ການນອງເລືອດ	Bloodshed	kaann`ngelyy`d
ການນຳພາ	Leadership	kaannamphaa
ການນີ້	This	kaannii
ການເນ	Marriage	kaanen
ການບໍລິຫານ	Administration	kaanbMlihaan
ການບ້ານ	Homework	kaanbaan
ການບາບ	Sin	kaanbaab
ການປົກຄອງ	Governance	kaanpokkh`ng
ການປ່ຽນແປງ	Change	kaanpnyneipng
ການເຜົາ	Burning	kaanephoaa
ກ້ານພ້າວ	Coconut stalk	kaanphaaw
ການພາວັນນາ^ອະທິຖານ	Prayer	kaanphaawnnaa^`athithaan
ການພິພາກ	Judgment	kaanphiphaak
ການເມືອງ	Politics	kaanemyy`ng
ການລະເມີດ	Violation	kaanlaemiid
ການລິມ	Liming	kaanlim
ການລີມ^ເອີຍ	Mahjong, yes.	kaanliim^e`iiny
ການລົງໂທດ	Punishment	kaanlongothd
ການລ້ຽງ	Raising	kaanlnyng
ການແລ່ນ	Running	kaaneiln
ການວາງ^ລະບຽບ	Regulation	kaanwaang^labnyb
ການເວົ້າ	Speaking	kaanewoaa
ການໝີ	The bear	kaanhmii
ການຫລອນ	Sleep	kaanhl`n
ການອະໄພ	Forgiveness	kaan`aaiph
ການອ່ານ	Reading	kaan`aan
ການອຶດຢາກ	Hunger	kaan`ydyaak
ການຮ້ອງເພງ	Singing	kaan`ngephng
ການຮ້າຍ	Violence	kaanaany
ການຮຽນ	Learning	kaannyn
ການາ	Ghana	kaanaa
ການາອານ	Canaan	kaanaa`aan
ການາອີມ	Ghana	kaanaa`iim
ກາບ	sheath	kaab
ກາບ^ລົງ	Go down.	kaab^long
ກາບກອນ	Poem	kaabk`n
ກາບທູນ	Speech bubble	kaabthuun
ກາບຮຽນ	Study guide	kaabnyn
ກາບູນ	Kaboon	kaabuun
ກາປະທັບ	Seal	kaapathb
ກ້າປາກ^ກ້າເວົ້າ	Dare to speak.	kaapaak^kaaewoaa
ກາປາໂດເກຍ	Cappadocia	kaapaaodekny
ກາເປນາອູມ	Capernaum	kaaepnaa`uum
ກາເປນາອູມ^ເອີຍ	Capernaum^ay	kaaepnaa`uum^e`iiny
ກາມ	Sexual desire	kaam
ກ້າມ	Muscle	kaam
ກ້າມ^ຊີ້ນ	Muscles	kaam^siin
ກາມາລີເອນ	Gamaliel	kaamaaliie`n
ກາມູນ	Kamun	kaamuun
ກາມົນ	Kamon	kaamon
ກາເມນ	Carmen	kaaemn
ກາຢະຟາ	Caiaphas	kaayafaa
ກາລະ	Karma	kaala
ກາລະ^ເທສະ	Kalasatsa	kaala^ethsa
ກາລະ^ເວລາ	Time	kaala^ewlaa
ກາລະບູນ	Kalaboon	kaalabuun
ກາລະໂປ	Kalapo	kaalaop
ກາລາ	Gala	kaalaa
ກາລານ	Gala	kaalaan
ກາເລັບ	Caleb	kaaelb
ກ່າວ	Say	kaaw
ກ້າວ	Step	kaaw
ກ່າວ^ຄວາມຈິງ	Tell the truth.	kaaw^khwaamching
ກ່າວ^ຄຳຕົວະ	Tell a lie.	kaaw^khamhowa
ກ່າວ^ຈາ	Say something.	kaaw^chaa
ກ່າວ^ເຖີດ	Say it.	kaaw^ethiid
ກ່າວ^ເທີ້ນ	Say it.	kaaw^ethiin
ກ່າວ^ນັ້ນ	Say that.	kaaw^nn
ກ່າວ^ໄປ	Say ^ go	kaaw^aip
ກ້າວ^ໄປ	Go ahead.	kaaw^aip
ກ່າວ^ຢໍ້າ	Repeat	kaaw^yMaa
ກ່າວ^ວ່າ	Say that	kaaw^waa
ກ່າວ^ໄວ້	Say it.	kaaw^aiw
ກ່າວຂວັນ	Say a slogan	kaawkhwn
ກ່າວຂູ່	Threaten	kaawkhuu
ກ່າວຈາ	Speak	kaawchaa
ກ່າວຍ້ອງ	Praise	kaawny`ng
ກາວດາ	Cow	kaawdaa
ກ້າວເດີນ	Step forward	kaawediin
ກ່າວຕໍ່	Speak to	kaawhM
ກ່າວຕຳໜິ	criticize	kaawhamhni
ກ່າວເຖິງ	Mention	kaawething
ກ່າວເຖີດ	Say it.	kaawethiid
ກ່າວໂທດ	Condemn	kaawothd
ກ່າວຟ້ອງ	To accuse	kaawf`ng
ກ່າວວ່າ	said	kaawwaa
ກ່າວໄວ້	Said	kaawaiw
ກ້າວໜ້າ	Progress	kaawhnaa
ກ່າວຫາ	Accuse	kaawhaa
ກ່າວອອກ	Speak out	kaaw``k
ກ່າວອ້າງ	Claim	kaaw`aang
ກ່າວຮ້າຍ	Slander	kaawaany
ກ່າວ່າ	Say it.	kaawaa
ກ້າຫານ	Brave	kaahaan
ກາອາດ	Gad	kaa`aad
ກາອານ	Kaan	kaa`aan
ກາອິນ	Cain	kaa`in
ກາອິນ^ເອີຍ	Cain^yes	kaa`in^e`iiny
ກາອີນ	Cain	kaa`iin
ກາຮາ	Kaha	kaaaa
ກາຮາມ	Kaham	kaaaam
ກຳ	Command	kam
ກຳ^ອຳນາດ	Power	kam^`amnaad
ກຳກັບ	To be	kamkb
ກຳຈັດ	Eliminate	kamchd
ກຳຈັດ^ລ້າງຜານ	Eliminate^Wipe out	kamchd^laangphaan
ກຳຍານ	Frankincense	kamnyaan
ກຳດຽວ	One thing	kamdnyw
ກຳນົດ	Determine	kamnod
ກຳນົດ^ໄວ້	Set aside	kamnod^aiw
ກຳເນີດ	Birth	kameniid
ກຳເນີດ||ຂອງ	Birth||of	kameniid||kh`ng
ກຳບັງ	Cover	kambng
ກຳປັ່ນ	Ship	kampn
ກຳປັ້ນ	Fist	kampn
ກຳພ້າ	Orphan	kamphaa
ກຳແພງ	Wall	kameiphng
ກຳແພງ^ນະຄອນ	City wall	kameiphng^nakh`n
ກຳແພງ^ເມືອງ	City wall	kameiphng^emyy`ng
ກຳມະກອນ	Worker	kammak`n
ກຳມະສິດ	Ownership	kammasid
ກຳມື	Handshake	kammyy
ກຳລັງ	Strength	kamlng
ກຳລັງ^ຈະ	Will be	kamlng^cha
ກຳລັງ^ໃຈ	Strength	kamlng^aych
ກຳລັງ^ນັ່ງ	Sitting	kamlng^nng
ກຳລັງ||ທາງ	Power || Way	kamlng||thaang
ກຳລັງກັນ	Together	kamlngkn
ກຳລັງໃຈ	Encouragement	kamlngaych
ກຳໄລ	Profit	kamail
ກິ່ງ	Branch	king
ກິ້ງ	Roll	king
ກິ່ງກ້ານ	Branch	kingkaan
ກິ້ງເກືອກ	Roll up	kingekyy`k
ກິ້ງທັບ	Roll over	kingthb
ກິ້ງໄປ^ກິ້ງມາ	Rolling around^Rolling around	kingaip^kingmaa
ກິ່ງໄມ້	Tree branch	kingaim
ກິ້ງລົງ	Scroll down	kinglong
ກິດ	Activity	kid
ກິດຈະການ	Activities	kidchakaan
ກິດຊະເຫລັບ	Secret service	kidsaehlb
ກິດດັນຕີ	Kiddanti	kiddnhii
ກິດເດນ	Giddens	kidedn
ກິດຕາ	History	kidhaa
ກິດຕາອິມ	Kittim	kidhaa`im
ກິດທຸລະ	Business	kidthula
ກິດໂຣນ	Kidron	kidorn
ກິດລິດ	Skill	kidlid
ກິນ	Eat	kin
ກິ່ນ	Smell	kin
ກິນ^ເຂົ້າ	Eat rice.	kin^ekhoaa
ກິນ^ເຂົ້າຈີ່	Eat bread.	kin^ekhoaachii
ກິນ^ເຂົ້າແລງ	Have dinner.	kin^ekhoaaeilng
ກິນ^ຄົນ	Eat people.	kin^khon
ກິ່ນ^ທູບ	The smell of incense	kin^thuub
ກິນ^ແລ້ວ	Eaten.	kin^eilw
ກິນ^ຫຍັງ	What to eat?	kin^hnyng
ກິນ^ໝາກ	Eat fruit.	kin^hmaak
ກິນ^ຫລາຍໂພດ	Eat too much.	kin^hlaanyophd
ກິ່ນ^ຫອມ	Smell	kin^h`m
ກິ່ນ^ຫອມຫວນ	Smell	kin^h`mhwn
ກິນກັນ^ເອງ	Eat together.	kinkn^e`ng
ກິນການ	Eat	kinkaan
ກິນດີ	Eat well.	kindii
ກິນໄດ້	Edible	kinaid
ກິ່ນໂຕ	Body odor	kinoh
ກິນທານ	Eat alms	kinthaan
ກິນເນໂທອີ	Eat Netoi	kinenoth`ii
ກິນເນເຣດ	Eat Nered	kinenerd
ກິນໂບອາ	Eat boa	kinob`aa
ກິນມາດ	Eat charcoal	kinmaad
ກິນລ້ຽງ	Have a party	kinlnyng
ກິນລ້ຽງ^ກັນ	Eat together.	kinlnyng^kn
ກິນລ້ຽງ^ສະຫລອງ	Feast^celebrate	kinlnyng^sahl`ng
ກິນລ້ຽງ^ສັງສັນ	Have a party.	kinlnyng^sngsn
ກິນແລະດື່ມ	Eat and drink	kineiladyym
ກິນແໜງ	Regret	kineihnng
ກິນແໜງ^ໃຈ	Regret	kineihnng^aych
ກິນຫລາຍ	Eat a lot	kinhlaany
ກິນອີ່ມ	Eat to your heart's content	kin`iim
ກິບຊາອີມ	Kibzaim	kibsaa`iim
ກິບບາ	Kibbutz	kibbaa
ກິບເບໂທນ	Gibbet	kibebothn
ກິບໂຣດ	Kibroth	kibord
ກິເບໂອນ	Gibeon	kiebo`n
ກິມໂຊ	Kim So	kimos
ກິມຮາມ	Kim Ham	kimaam
ກິຣິຍາ	Verb	kirinyaa
ກິຣີອາດ	Kiriath	kirii`aad
ກິລາ	Sports	kilaa
ກິເລດ^ຕັນຫາ	Desire	kield^hnhaa
ກິໂລ	Kilogram	kiol
ກິໂລກຼາມ	Kilogram	kiolklaam
ກິໂລແມັດ	Kilometer	kioleimd
ກິ່ວ	Narrow	kiw
ກິ້ວໂກດ	Angry	kiwokd
ກີກາຊີ	Kigali	kiikaasii
ກີ້ຄຳ	Goldfish	kiikham
ກີສະໂປ	Spanish	kiisaop
ກີຊະປາ	Kishpa	kiisapaa
ກີຊະເລວ	Kislev	kiisaelw
ກີຊີໂອນ	Gihon	kiisiio`n
ກີເຊ	Kish	kiies
ກີໂຊນ	Kishon	kiiosn
ກີດກັ້ນ	Block	kiidkn
ກີດຂວາງ	Block	kiidkhwaang
ກີເດໂອນ	Gideon	kiiedo`n
ກີເດໂອນ^ເອງ	Gideon himself	kiiedo`n^e`ng
ກີໂດມ	Kidom	kiiodm
ກີນລ້ຽງ^ນີ້	This is a child.	kiinlnyng^nii
ກີນາ	Guinea	kiinaa
ກີບ	Kip	kiib
ກີບຕີນ	Foot	kiibhiin
ກີເບອາ	Gibeah	kiieb`aa
ກີເບໂອນ	Gibeon	kiiebo`n
ກີຣະ	Gir	kiira
ກີຣະເຮເຣັດ	Kirheres	kiiraeerd
ກີຣິຊີ	Greece	kiirisii
ກີຣິອາດ	Kiriath	kiiri`aad
ກີຣິອາດ^ເຊເຟ	Kiriath-sepher	kiiri`aad^esef
ກີຣິອາດ^ອາກບາ	Kiriath-arba	kiiri`aad^`aakbaa
ກີຣິອາດທາອິມ	Kiriathaim	kiiri`aadthaa`im
ກີຣິອາດບາອານ	Kiriath Baal	kiiri`aadbaa`aan
ກີຣີນີໂອ	Kyrenia	kiiriiniio`
ກີຣີອາດ	Kiriath	kiirii`aad
ກີຣີອາດ^ເຢອາຣີມ	Kiriath Jearim	kiirii`aad^ey`aariim
ກີເຣເນ	Cyrene	kiieren
ກີລີເກຍ	Cilicia	kiiliiekny
ກີລີໂອນ	Kilion	kiiliio`n
ກີເລອາດ	Gilead	kiiel`aad
ກີເລອາບ	Gilead	kiiel`aab
ກີໂລ	Kilo	kiiol
ກີ້ວໂກດ	Angry	kiiwokd
ກີໂຮນ	Gihon	kiion
ກຶກກ້ອງ	Loud noise	kykk`ng
ກຶ່ງ	Half	kyng
ກຶ້ງຕາ	Eyes closed	kynghaa
ກຶນ	Goosebumps	kyn
ກືກ	Dumb	kyyk
ກື່ງ	Kung	kyyng
ກືນ	Swallow	kyyn
ກືນກິນ	Swallow	kyynkin
ກືນຄືນ	Swallow back	kyynkhyyn
ກຸກກວນ	Disturbance	kukkwn
ກຸກກິກ	Kukik	kukkik
ກຸສົນ	Charity	kuson
